代码,名称,最高,每股收益,每股净资,调整后净资,每股公积,每股未分配,权益比,净益率%%,销售毛利率%%,今开,净利润率%%
000612,焦作万方,6.06,0.040㈡,4.05,0,1.33,1.37,53.4,          0.99㈡,7.11,5.43,1.98
000613,大东海A,11.18,-0.009㈡,0.22,0,0.15,-0.93,73.71,         -4.19㈡,96.78,10.05,-40.28
000615,湖北金环,9.78,0.497㈡,3.56,0,0.42,1.18,60.99,         13.98㈡,15.01,8.9,31.28
000616,海航投资,6.99,0.060㈡,3.01,0,0.14,1.71,50.98,          2.00㈡,22.87,6.3,28.74
000617,石油济柴,10.8,0.021㈡,2.11,0,0.13,0.67,26.98,          1.00㈡,15.4,9.52,0.99
000619,海螺型材,9.58,0.122㈡,6.6,0,1.21,3.69,56.39,          1.85㈡,14.98,8.62,2.7
000620,新华联,9.5,0.039㈡,2.97,0,1.08,1.47,19.49,          1.31㈡,30.05,8.5,7.97
000622,恒立实业,--  ,-0.036㈡,0.44,0,0.43,-1,53.7,         -8.24㈡,6.33,--  ,-56.54
000623,吉林敖东,24.79,1.856㈡,19.21,0,4.51,11.1,90.33,          9.66㈡,63.99,23.33,145.78
000625,长安汽车,14.89,1.091㈡,6.33,0,0.69,4.08,36.93,         17.24㈡,17.56,13.8,15.39
000626,如意集团,--  ,1.012㈡,4.19,0,0.16,3.04,6.44,         24.16㈡,1.53,--  ,0.81
000627,天茂集团,6.69,-0.028㈡,1.04,0,0.02,-0.06,66.14,         -2.69㈡,3.31,6.12,-12.88
000628,高新发展,11.64,-0.060㈡,2.06,0,2.35,-1.32,15.8,         -2.23㈡,14.52,10.1,-2.16
000629,攀钢钒钛,3.43,-0.062㈡,1.17,0,0.65,-0.52,17.86,         -5.29㈡,18.82,3.15,-8.61
000630,铜陵有色,--  ,0.069㈡,3.92,0,1.19,1.46,29.21,          1.76㈡,3.42,--  ,0.57
000631,顺发恒业,7.09,0.147㈡,2.49,0,0.15,1.16,29.86,          5.91㈡,26.83,6.4,10.79
000632,三木集团,7.5,0.006㈡,2.71,0,0.01,0.3,15.62,          0.22㈡,8.15,6.7,0.16
000633,合金投资,--  ,-0.036㈡,0.48,0,0.12,-0.82,76.99,         -7.49㈡,-3.93,--  ,-48.38
000635,英 力 特,9.99,0.092㈡,9.21,0,6.2,1.72,87.74,          1.00㈡,14.23,9.18,3.41
000636,风华高科,7.58,0.052㈡,4.95,0,2.2,0.61,73.47,          1.05㈡,18.07,6.99,4.78
000637,茂化实华,6.4,0.093㈡,1.57,0,0.01,0.21,60.91,          5.93㈡,12.44,5.8,3.14
000638,万方发展,10.2,-0.023㈡,0.73,0,0.26,-0.55,8.31,         -3.16㈡,5.57,9.25,-10.81
000639,西王食品,12.33,0.192㈡,3.41,0,0.64,1.58,74.46,          5.62㈡,26.88,11.36,7.08
000650,仁和药业,--  ,0.134㈡,1.75,0,0.25,0.39,77.19,          7.63㈡,43.47,--  ,14.15
000651,格力电器,18.2,0.951㈡,6.83,0,0.53,5.24,25.07,         13.91㈡,28.09,17.55,11.42
000652,泰达股份,5.65,0.012㈡,1.62,0,0.05,0.34,9.24,          0.76㈡,8.69,5,0.84
000655,金岭矿业,9.85,-0.069㈡,5.24,0,0.82,2.92,87.26,         -1.31㈡,10.56,9.01,-9.36
000656,金科股份,5.45,0.100㈡,2.6,2.6,0.04,1.37,12.82,          3.86㈡,25.87,5,7.14
000657,中钨高新,--  ,-0.213㈡,5.3,0,4.35,0,42.91,         -4.02㈡,11.39,--  ,-4.53
000659,*ST中富,--  ,0.003㈡,0.87,0,0.21,-0.62,32.48,          0.35㈡,20.25,--  ,0.38
000661,长春高新,93.83,1.339㈡,12.07,0,2.01,8.23,48.13,         11.09㈡,78.78,80.9,16.37
000662,索芙特,10.1,-0.001㈡,1.99,0,0.93,-0.15,77.25,         -0.03㈡,11.77,8.92,-0.07
000663,永安林业,13.96,0.013㈡,1.58,0,0.45,-0.16,23.74,          0.81㈡,19.16,11.66,1.35
000665,湖北广电,--  ,0.334㈡,8.16,0,5.45,1.62,70.6,          4.10㈡,45.68,--  ,18.39
000666,经纬纺机,17.07,0.442㈡,8.38,0,2.73,3.08,23.07,          5.28㈡,35.82,15.3,12.9
000667,美好集团,4.91,0.014㈡,2.14,0,0.6,0.44,31.12,          0.67㈡,25.19,4.3,3.48
000668,荣丰控股,--  ,-0.021㈡,4.22,0,0.55,1.91,39.46,         -0.50㈡,55.23,--  ,-69.24
000669,金鸿能源,16.96,0.294㈡,8.37,0,4.43,2.8,44.91,          3.51㈡,31.99,15.68,12.38
000670,盈方微,10.3,-0.035㈡,0.63,0,0.22,0.05,76.15,         -5.58㈡,27.14,9.5,-23.18
000671,阳 光 城,13.87,0.246㈡,5.09,0,1.88,2.17,12.75,          4.84㈡,31.16,13.1,7.1
000672,上峰水泥,--  ,0.066㈡,2.2,0,-0.59,1.52,43.83,          3.01㈡,17.64,--  ,5.5
000673,当代东方,--  ,0.110㈡,5.09,0,4.61,-0.58,77.13,          1.29㈡,42.71,--  ,23.14
000676,智度投资,--  ,-0.067㈡,0.38,0,0.21,-0.93,23.24,        -17.36㈡,31.72,--  ,-12.67
000677,*ST海龙,--  ,-0.207㈡,0.04,0,0.81,-2.02,1.2,       -516.70㈡,-1.21,--  ,-17.81
000678,襄阳轴承,6.8,-0.028㈡,2.46,0,1.34,-0.03,43.71,         -1.12㈡,9.39,6.13,-1.81
000679,大连友谊,--  ,0.350㈡,4.49,0,0.2,2.78,19.85,          7.81㈡,23.14,--  ,8.9
000680,山推股份,5.23,-0.246㈡,3.03,0,0.96,0.77,35.34,         -8.11㈡,6.19,4.9,-13.34
000681,视觉中国,19.1,0.070㈡,2.1,2.1,1.52,0.42,89.39,          3.41㈡,55.85,16.98,23.68
000682,东方电子,5.27,0.020㈡,1.52,0,0.35,0.15,48.83,          1.33㈡,33.79,4.8,2.24
000683,远兴能源,5.45,0.046㈡,3.76,0,0.88,1.72,32.12,          1.24㈡,34.03,5,2.16
