代码	名称	涨幅%%	涨跌	最高%%	现价	开盘%%	现量	投资收益	市现率	市净率	市盈(动)	每股未分配	每股未分配	昨收	资产负债率%%	人均持股	净利润率%%	细分行业	流通股本(万)	地区	振幅%%	
000502	绿景控股	10.00	1.31	10.00	14.41	10.00	135	23.71	104.52	         13.42	--  	         -0.09	         -0.09	13.10	32.99	         10268	        -43.14	区域地产	      18332.91	广东	0.00	
000503	海虹控股	-10.01	-2.23	4.08	20.05	-9.34	21831	94.35	-228.82	         13.99	--  	          0.56	          0.56	22.28	4.59	         25926	        -51.38	互联网	      89796.70	海南	14.09	
000504	南华生物	-2.92	-0.34	5.33	11.30	-8.33	1032	0.00	-327.37	      -1331.36	--  	         -1.39	         -1.39	11.64	100.44	         12498	       -123.35	出版业	      30997.25	湖南	14.09	
000505	珠江控股	-9.95	-0.79	2.77	7.15	-9.32	604	12413.73	-32.13	        -34.65	    70.98	         -2.25	         -2.25	7.94	105.51	          8984	         15.79	全国地产	      36044.53	海南	12.72	
000506	中润资源	-9.97	-0.71	2.53	6.41	-7.30	4759	0.00	-102.59	          4.24	   580.05	          0.43	          0.43	7.12	60.98	         18757	          1.75	区域地产	      92831.09	山东	12.50	
000507	珠海港	-2.73	-0.16	3.92	5.70	-4.78	2972	3578.31	35.52	          1.81	    45.19	          1.01	          1.01	5.86	51.55	          6298	          5.01	港口	      77214.38	广东	10.07	
000509	华塑控股	-8.55	-0.40	2.35	4.28	-5.98	1901	0.00	-113.05	        161.51	--  	         -1.21	         -1.21	4.68	101.66	         10311	        -28.16	其他建材	      60563.23	四川	12.18	
000510	*ST金路	-4.97	-0.56	-2.57	10.71	-4.88	46	-45.65	-65.41	          9.83	--  	         -0.17	         -0.17	11.27	54.09	          7330	         -9.06	化工原料	      60912.30	四川	2.40	
000511	烯碳新材	--  	--  	--  	8.91	--  	0	7687.06	-56.24	          7.16	   450.58	          0.07	          0.07	8.91	59.63	          7137	          1.93	矿物制品	     115482.22	辽宁	0.00	
000513	丽珠集团	--  	--  	--  	53.35	--  	0	347.17	90.27	          4.98	    30.97	          7.63	          7.63	53.35	41.64	         16930	         10.94	中成药	      25010.56	广东	0.00	
