代码,名称,卖量,未匹配量,流通股本(万),流通市值,AB股总市值,强弱度%%,活跃度,每笔均量,每笔换手,财务更新,上市日期,总股本(万),B股(或A),H股,总资产(万)
600011,华能国际,6339,--  ,1050000,       1082.55亿,       1082.55亿,9.07,2786,435,0.0004,20150827,20011206,1442038.38,0,392038.34,29640540
600012,皖通高速,9,--  ,116560,        107.93亿,        107.93亿,-9.19,2175,41,0.0004,20150824,20030107,165861,0,49301,1167627.88
600015,华夏银行,11725,--  ,778522.44,        846.25亿,       1161.52亿,1.79,2795,532,0.0007,20150808,20030912,1068557.25,0,0,191723200
600016,民生银行,1232,--  ,2955177,       2742.40亿,       2742.40亿,4.36,2855,1829,0.0006,20150829,20001219,3648535,0,693357.94,430107296
600017,日照港,351,--  ,307565.38,        188.85亿,        188.85亿,0.2,2674,221,0.0007,20150818,20061017,307565.38,0,0,1846748.75
600018,上港集团,73,--  ,2275518,       1745.32亿,       1777.42亿,8.84,2864,911,0.0004,20150828,20061026,2317367.5,0,0,9868088
600019,宝钢股份,2198,--  ,1642427.88,       1024.88亿,       1027.68亿,5.61,2860,970,0.0006,20150825,20001212,1646928.88,0,0,23301404
600020,中原高速,115,--  ,224737.19,        116.41亿,        116.41亿,-3.33,2516,187,0.0008,20150820,20030808,224737.19,0,0,4562538
600021,上海电力,5,--  ,213973.92,        310.48亿,        310.48亿,-5.7,2809,148,0.0007,20150826,20031029,213973.92,0,0,4759215
600022,山东钢铁,337,--  ,643629.56,        211.75亿,        277.03亿,-4.71,2853,359,0.0006,20150827,20040629,842042.25,0,0,4747133.5
600023,浙能电力,22,--  ,255425.77,        214.81亿,       1143.82亿,6.26,2858,833,0.0033,20150820,20131219,1360069,0,0,10570290
600026,中海发展,0,--  ,273603.28,        303.15亿,        303.15亿,0.2,1,0,0,20150829,20020523,403203.28,0,129600,6696519
600027,华电国际,224,--  ,594005.63,        465.11亿,        555.15亿,3.5,2772,532,0.0009,20150823,20050203,880729,0,171723.34,18697586
600028,中国石化,18471,--  ,9555777,       4672.77亿,       4672.77亿,-3.73,2873,1234,0.0001,20150827,20010808,12107121,0,2551343.75,147035504
600029,南方航空,699,--  ,702265,        574.45亿,        574.45亿,0.94,2874,974,0.0014,20150829,20030725,981756.69,0,279491.69,18817500
600030,中信证券,10968,--  ,981466.19,       1459.44亿,       1463.00亿,-1.9,2877,1259,0.0013,20150825,20030106,1211690.88,0,227832.77,77550568
600031,三一重工,8941,--  ,759370.63,        482.96亿,        484.41亿,-7.35,2820,275,0.0004,20150829,20030703,761650.38,0,0,6049818.5
600033,福建高速,284,--  ,274440,        103.74亿,        103.74亿,-3.12,2444,147,0.0005,20150829,20010209,274440,0,0,1910989.25
600035,楚天高速,1272,--  ,145337.8,         65.98亿,         65.98亿,-3.41,2172,80,0.0006,20150819,20040310,145337.8,0,0,927869.63
600036,招商银行,2401,--  ,2062894.5,       3459.47亿,       3459.47亿,-0.21,2859,605,0.0003,20150826,20020409,2521984.5,0,459090.13,522122144
600037,歌华有线,249,--  ,116835.2,        194.41亿,        194.41亿,0.38,2501,121,0.001,20150829,20010208,116835.2,0,0,1030311.38
600038,中直股份,4,--  ,39265,        162.64亿,        244.16亿,-2.93,2606,58,0.0015,20150827,20001218,58947.67,0,0,2099906
600039,四川路桥,240,--  ,301973.28,        134.08亿,        134.08亿,0.43,2421,189,0.0006,20150829,20030325,301973.28,0,0,5315979
600048,保利地产,19,--  ,1075268.63,        915.05亿,        915.05亿,-0.84,2856,828,0.0008,20150825,20060731,1075268.63,0,0,37944712
600050,中国联通,60,--  ,2119659.75,       1345.98亿,       1345.98亿,-2.1,2870,1507,0.0007,20150822,20021009,2119659.75,0,0,54024184
600051,宁波联合,94,--  ,30579.19,         25.32亿,         25.74亿,-3.18,1431,44,0.0014,20150828,19970410,31088,0,0,802588.19
600052,浙江广厦,25,--  ,87178.9,         46.55亿,         46.55亿,-9.29,2394,129,0.0015,20150825,19970415,87178.9,0,0,964746.13
600053,中江地产,0,--  ,43354.07,         56.97亿,         56.97亿,0.2,1,0,0,20150728,19970418,43354.07,0,0,261045.3
600054,黄山旅游,10,--  ,11762,         20.47亿,         86.69亿,1.37,1462,31,0.0026,20150826,19970506,49820,15600,0,341694.69
600055,华润万东,4,--  ,21645,         50.87亿,         50.87亿,-6.06,1610,28,0.0013,20150822,19970519,21645,0,0,133525.34
600056,中国医药,694,--  ,98220.34,        140.55亿,        144.89亿,3.01,2489,94,0.001,20150828,19970515,101251.34,0,0,1476772.88
600057,象屿股份,570,--  ,29016.77,         28.38亿,        101.35亿,-4.1,2209,61,0.0021,20150819,19970604,103625.02,0,0,2269548.25
600058,五矿发展,0,--  ,107191.07,        399.93亿,        399.93亿,0.2,1,0,0,20150828,19970528,107191.07,0,0,5131341.5
600059,古越龙山,198,--  ,80852.4,         72.20亿,         72.20亿,2.14,1900,100,0.0012,20150729,19970516,80852.4,0,0,417371.56
600060,海信电器,325,--  ,130848.13,        187.37亿,        187.37亿,-0.14,2453,156,0.0012,20150822,19970422,130848.13,0,0,1954975.63
600061,国投安信,39,--  ,42908.28,         54.54亿,        469.53亿,-8.36,2536,76,0.0018,20150828,19970519,369415.16,0,0,19272760
600062,华润双鹤,142,--  ,57169.58,        117.88亿,        117.88亿,2.43,1764,60,0.001,20150827,19970522,57169.58,0,0,682386.19
600063,皖维高新,468,--  ,149785.31,         66.21亿,         72.75亿,-8.66,2537,197,0.0013,20150728,19970528,164589.45,0,0,861651.13
600064,南京高科,241,--  ,77432.82,        131.71亿,        131.71亿,1.63,2512,84,0.0011,20150730,19970506,77432.82,0,0,2304065.5
600066,宇通客车,2027,--  ,189953.14,        349.32亿,        407.14亿,2.71,2666,94,0.0005,20150825,19970508,221393.92,0,0,2278163
600067,冠城大通,2726,--  ,148290.45,        103.51亿,        103.51亿,-1.21,2804,305,0.0021,20150728,19970508,148290.45,0,0,1890938.25
600068,葛洲坝,1269,--  ,414857.63,        317.78亿,        352.73亿,1.39,2702,414,0.001,20150829,19970526,460477.75,0,0,11484960
600069,*ST银鸽,505,--  ,82537.4,         29.30亿,         44.34亿,-4.37,1290,125,0.0015,20150826,19970430,124910.29,0,0,517993.94
600070,浙江富润,11,--  ,35661.3,         29.14亿,         29.14亿,-1.83,1679,78,0.0022,20150821,19970604,35661.3,0,0,227792.55
600071,*ST光学,589,--  ,23747.25,         35.22亿,         35.22亿,-4.79,759,33,0.0014,20150730,19970528,23747.25,0,0,112900.82
600072,钢构工程,0,--  ,47842.96,        124.34亿,        124.34亿,0.2,1,0,0,20150829,19970603,47842.96,0,0,216090.66
600073,上海梅林,0,--  ,82273.52,        110.99亿,        126.50亿,0.2,1,0,0,20150811,19970704,93772.95,0,0,625256.56
600074,保千里,0,--  ,89598.13,        187.44亿,        471.95亿,0.2,1,0,0,20150811,19970623,225595.3,0,0,161747.98
600075,新疆天业,0,--  ,43859.19,         70.17亿,         70.17亿,0.2,1,0,0,20150818,19970617,43859.19,0,0,340174.81
600076,青鸟华光,136,--  ,36553.6,         25.00亿,         25.00亿,-6.86,1940,62,0.0017,20150725,19970526,36553.6,0,0,78415.84
600077,宋都股份,2,--  ,109096.45,         55.09亿,         67.68亿,-2.12,2010,128,0.0012,20150818,19970520,134012.23,0,0,1384168.25
600078,澄星股份,410,--  ,66257.28,         38.16亿,         38.16亿,-5.22,1925,111,0.0017,20150731,19970627,66257.28,0,0,567548.25
600079,人福医药,286,--  ,103099.32,        163.72亿,        204.22亿,2.72,2710,139,0.0013,20150818,19970606,128604.9,0,0,1550620.25
600080,金花股份,86,--  ,30529.58,         22.93亿,         22.93亿,-4.37,1656,62,0.002,20150808,19970612,30529.58,0,0,126311.65
600081,东风科技,8498,--  ,31356,         51.89亿,         51.89亿,-9.8,2580,68,0.0022,20150829,19970703,31356,0,0,423175.59
600082,海泰发展,115,--  ,63237.57,         30.35亿,         31.01亿,-3.8,1606,90,0.0014,20150828,19970620,64611.57,0,0,343003.13
600083,博信股份,138,--  ,22692.27,         22.08亿,         22.38亿,-5.33,792,39,0.0017,20150808,19970606,23000,0,0,12861.16
600084,中葡股份,190,--  ,80991.92,         41.39亿,         57.42亿,-6.55,1949,72,0.0009,20150829,19970711,112372.67,0,0,423104.31
600085,同仁堂,255,--  ,137147.03,        330.80亿,        330.80亿,0.58,2238,111,0.0008,20150825,19970625,137147.03,0,0,1417221.5
600086,东方金钰,6,--  ,35228.17,        105.97亿,        135.36亿,-5.26,2603,64,0.0018,20150730,19970606,45000,0,0,850056.19
600088,中视传媒,3946,--  ,33142.19,         67.58亿,         67.58亿,-9.77,2041,49,0.0015,20150829,19970616,33142.19,0,0,142836.91
600089,特变电工,227,--  ,317748.97,        354.29亿,        362.27亿,-0.95,2787,335,0.0011,20150826,19970618,324905.38,0,0,6607977.5
600090,啤酒花,57,--  ,36791.66,         36.75亿,         36.75亿,0.1,1959,49,0.0013,20150827,19970616,36791.66,0,0,150134.31
600091,*ST明科,46,--  ,33652.6,         23.76亿,         23.76亿,-4.78,868,68,0.002,20150829,19970704,33652.6,0,0,119981.02
600093,禾嘉股份,1,--  ,32244.75,         35.40亿,        123.24亿,-1.59,2007,63,0.002,20150828,19970626,112244.75,0,0,569183.31
600094,大名城,46,--  ,131283.69,        104.63亿,        160.32亿,-6.47,2800,245,0.0019,20150805,19970703,201155.69,19872,0,3111252.5
600095,哈高科,618,--  ,36126.35,         28.18亿,         28.18亿,-7.6,2507,218,0.006,20150820,19970708,36126.35,0,0,120134.22
600096,云天化,287,--  ,52126.35,         46.34亿,        100.38亿,-3.58,2559,101,0.0019,20150818,19970709,112907.82,0,0,6543849.5
600097,开创国际,0,--  ,20259.78,         61.27亿,         61.27亿,0.2,1,0,0,20150822,19970619,20259.78,0,0,134227.16
600098,广州发展,20,--  ,272619.66,        247.27亿,        247.27亿,-4.22,2596,166,0.0006,20150829,19970718,272619.66,0,0,3468708.75
600099,林海股份,0,--  ,21912,         29.30亿,         29.30亿,0.2,1,0,0,20150829,19970704,21912,0,0,58814.42
600100,同方股份,1252,--  ,207020.14,        289.62亿,        414.65亿,-1.28,2849,469,0.0023,20150829,19970627,296389.91,0,0,5274732
600101,明星电力,40,--  ,32417.9,         32.32亿,         32.32亿,0.3,1906,64,0.002,20150828,19970627,32417.9,0,0,274226.38
600103,青山纸业,26,--  ,106184.15,         49.48亿,         49.48亿,-7.7,2708,183,0.0017,20150825,19970703,106184.15,0,0,353185.81
600104,上汽集团,269,--  ,1102556.63,       1975.78亿,       1975.78亿,2.96,2827,325,0.0003,20150828,19971125,1102556.63,0,0,47426248
600105,永鼎股份,15,--  ,38095.46,         46.78亿,         58.02亿,1.19,2436,104,0.0027,20150825,19970929,47249.66,0,0,260225.66
600106,重庆路桥,0,--  ,90774.2,         95.68亿,         95.68亿,0.2,1,0,0,20150822,19970618,90774.2,0,0,760349
600107,美尔雅,0,--  ,36000,         51.77亿,         51.77亿,0.2,1,0,0,20150829,19971106,36000,0,0,130716.42
600108,亚盛集团,386,--  ,194691.52,        131.03亿,        131.03亿,-0.39,2791,313,0.0016,20150828,19970818,194691.52,0,0,734510
600109,国金证券,98,--  ,283685.94,        342.98亿,        365.65亿,-5.05,2849,438,0.0015,20150827,19970807,302435.94,0,0,7134562.5
600110,中科英华,0,--  ,115031.21,        157.94亿,        157.94亿,0.2,1,0,0,20150825,19971007,115031.21,0,0,679024
600111,北方稀土,2622,--  ,221920.48,        291.83亿,        477.75亿,0.82,2821,302,0.0014,20150823,19970924,363306.59,0,0,1536908.38
600112,天成控股,32,--  ,50920.48,         64.41亿,         64.41亿,-0.27,2587,123,0.0024,20150821,19971127,50920.48,0,0,276082.19
600113,浙江东日,149,--  ,31860,         23.83亿,         23.83亿,-5.71,1734,68,0.0021,20150829,19971021,31860,0,0,122910.15
600114,东睦股份,189,--  ,23948.25,         26.58亿,         43.37亿,-0.33,2166,50,0.0021,20150814,20040511,39076.55,0,0,216721.66
600115,东方航空,1151,--  ,778221.38,        637.36亿,        751.84亿,4.53,2880,1234,0.0016,20150816,19971105,1267426.88,0,349432.5,17611200
600116,三峡水利,25,--  ,26753.32,         31.78亿,         39.32亿,-2.42,1705,55,0.0021,20150823,19970804,33100.17,0,0,443456.59
600117,西宁特钢,789,--  ,74121.92,         34.39亿,         34.39亿,-6.06,1786,77,0.001,20150829,19971015,74121.92,0,0,2421512.25
600118,中国卫星,19512,--  ,118248.9,        429.36亿,        429.36亿,-9.79,2861,132,0.0011,20150826,19970908,118248.9,0,0,987325.19
600119,长江投资,209,--  ,30740,         41.22亿,         41.22亿,-1.77,2384,69,0.0022,20150825,19980115,30740,0,0,222656.47
600120,浙江东方,112,--  ,50547.33,         88.15亿,         88.15亿,-3.01,1823,65,0.0013,20150828,19971201,50547.33,0,0,1188153.88
600121,郑州煤电,249,--  ,69834.4,         34.99亿,         50.87亿,-4.55,1357,51,0.0007,20150829,19980107,101534.34,0,0,1072380.13
