,date,price,change,vol,amount,bid
1332,11:15:10,4.51,,774,349398,ÂôÅÌ
1333,11:15:05,4.51,,1411,636595,ÂôÅÌ
1334,11:15:00,4.51,,886,399622,ÂòÅÌ
1335,11:14:55,4.51,0.01,1808,815408,ÂòÅÌ
1336,11:14:50,4.5,-0.01,3512,1580688,ÂôÅÌ
1337,11:14:45,4.51,,1780,803140,ÂòÅÌ
1338,11:14:40,4.51,,1607,724775,ÂòÅÌ
1339,11:14:35,4.51,,2252,1015868,ÂòÅÌ
1340,11:14:25,4.51,0.01,2267,1022507,ÂòÅÌ
1341,11:14:20,4.5,,6692,3011760,ÂôÅÌ
1342,11:14:20,4.5,-0.01,1880,846000,ÂôÅÌ
1343,11:14:15,4.51,,2070,933606,ÂòÅÌ
1344,11:14:10,4.51,,693,312597,ÂòÅÌ
1345,11:14:05,4.51,0.01,1247,562415,ÂòÅÌ
1346,11:14:00,4.5,,3289,1480464,ÂôÅÌ
1347,11:13:55,4.5,,5664,2548800,ÂôÅÌ
1348,11:13:50,4.5,,1849,832464,ÂôÅÌ
1349,11:13:45,4.5,,1400,630432,ÂôÅÌ
1350,11:13:40,4.5,,653,293904,ÂôÅÌ
1351,11:13:35,4.5,,1158,521136,ÂôÅÌ
1352,11:13:30,4.5,-0.01,595,268128,ÂôÅÌ
1353,11:13:25,4.51,,2020,911092,ÂòÅÌ
1354,11:13:20,4.51,,2254,1016878,ÂòÅÌ
1355,11:13:15,4.51,0.01,663,299031,ÂòÅÌ
1356,11:13:10,4.5,-0.01,1893,851904,ÂôÅÌ
1357,11:13:05,4.51,0.01,3245,1463549,ÂòÅÌ
1358,11:13:00,4.5,,3381,1521792,ÂôÅÌ
1359,11:12:55,4.5,,680,306432,ÂôÅÌ
1360,11:12:50,4.5,,530,238608,ÂôÅÌ
1361,11:12:45,4.5,,615,276768,ÂôÅÌ
1362,11:12:40,4.5,-0.01,681,306864,ÂôÅÌ
1363,11:12:35,4.51,0.01,1209,545673,ÂòÅÌ
1364,11:12:30,4.5,,1544,695232,ÂôÅÌ
1365,11:12:25,4.5,,1348,606672,ÂôÅÌ
1366,11:12:20,4.5,,1203,541728,ÂòÅÌ
1367,11:12:15,4.5,,3488,1569600,ÂòÅÌ
1368,11:12:10,4.5,,6616,2977200,ÂòÅÌ
1369,11:12:05,4.5,,1941,873504,ÂòÅÌ
1370,11:12:00,4.5,,1568,705600,ÂòÅÌ
1371,11:11:55,4.5,,1505,677664,ÂòÅÌ
1372,11:11:50,4.5,,1346,606096,ÂòÅÌ
1373,11:11:45,4.5,,1866,839808,ÂòÅÌ
1374,11:11:40,4.5,-0.01,4192,1886832,ÂôÅÌ
1375,11:11:35,4.51,,7528,3395128,ÂòÅÌ
1376,11:11:30,4.51,,7676,3462236,ÂòÅÌ
1377,11:11:25,4.51,,4437,2001141,ÂòÅÌ
1378,11:11:20,4.51,,3190,1438726,ÂòÅÌ
1379,11:11:15,4.51,,1918,865054,ÂòÅÌ
1380,11:11:10,4.51,,2118,955542,ÂòÅÌ
1381,11:11:05,4.51,-0.01,6738,3038946,ÂôÅÌ
1382,11:10:55,4.52,,4287,1937742,ÂòÅÌ
1383,11:10:55,4.52,,5621,2540746,ÂòÅÌ
1384,11:10:50,4.52,,11759,5315086,ÂôÅÌ
1385,11:10:45,4.52,,7912,3576657,ÂôÅÌ
1386,11:10:40,4.52,,6920,3128273,ÂôÅÌ
1387,11:10:35,4.52,-0.01,3751,1695470,ÂôÅÌ
1388,11:10:30,4.53,,5924,2683934,ÂòÅÌ
1389,11:10:25,4.53,,11328,5131584,ÂòÅÌ
1390,11:10:20,4.53,,6981,3162447,ÂòÅÌ
1391,11:10:15,4.53,,4072,1844616,ÂòÅÌ
1392,11:10:10,4.53,,5927,2684949,ÂòÅÌ
1393,11:10:05,4.53,,3672,1663416,ÂòÅÌ
1394,11:10:00,4.53,0.01,2506,1135616,ÂòÅÌ
1395,11:09:55,4.52,,5058,2286469,ÂôÅÌ
1396,11:09:44,4.52,,2566,1160085,ÂòÅÌ
1397,11:09:39,4.52,,6718,3036572,ÂòÅÌ
1398,11:09:34,4.52,,5598,2530621,ÂòÅÌ
1399,11:09:29,4.52,,3499,1581566,ÂòÅÌ
1400,11:09:19,4.52,0.01,2046,925189,ÂòÅÌ
1401,11:09:19,4.51,-0.01,903,407271,ÂôÅÌ
1402,11:09:14,4.52,,4835,2185438,ÂòÅÌ
1403,11:09:09,4.52,0.01,2093,946234,ÂòÅÌ
1404,11:09:04,4.51,,7915,3569683,ÂòÅÌ
1405,11:08:59,4.51,,2448,1104048,ÂòÅÌ
1406,11:08:54,4.51,0.01,1204,543004,ÂòÅÌ
1407,11:08:49,4.5,,2524,1135800,ÂôÅÌ
1408,11:08:44,4.5,,8532,3839616,ÂòÅÌ
1409,11:08:39,4.5,,18296,8233200,ÂòÅÌ
1410,11:08:29,4.5,,6336,2851200,ÂòÅÌ
1411,11:08:29,4.5,0.01,1954,879336,ÂòÅÌ
1412,11:08:24,4.49,-0.01,3574,1605121,ÂôÅÌ
1413,11:08:19,4.5,,4556,2050200,ÂòÅÌ
1414,11:08:14,4.5,0.01,2903,1306368,ÂòÅÌ
1415,11:08:09,4.49,-0.01,2307,1035860,ÂôÅÌ
1416,11:08:04,4.5,0.01,781,351864,ÂòÅÌ
1417,11:07:58,4.49,,259,116308,ÂôÅÌ
1418,11:07:53,4.49,-0.01,2079,933560,ÂôÅÌ
1419,11:07:48,4.5,0.01,3934,1770336,ÂòÅÌ
1420,11:07:43,4.49,,5140,2307860,ÂòÅÌ
1421,11:07:38,4.49,,3593,1613454,ÂòÅÌ
1422,11:07:33,4.49,0.01,3685,1654618,ÂòÅÌ
1423,11:07:28,4.48,,1410,632074,ÂôÅÌ
1424,11:07:23,4.48,,2578,1154979,ÂôÅÌ
1425,11:07:18,4.48,,631,282705,ÂôÅÌ
1426,11:07:13,4.48,0.01,5707,2557040,ÂòÅÌ
1427,11:07:08,4.47,,2470,1104125,ÂôÅÌ
1428,11:07:03,4.47,-0.01,4904,2192088,ÂôÅÌ
1429,11:06:58,4.48,,955,427857,ÂòÅÌ
1430,11:06:53,4.48,0.01,3544,1588142,ÂòÅÌ
1431,11:06:48,4.47,-0.01,1107,494846,ÂôÅÌ
1432,11:06:43,4.48,0.01,981,439900,ÂòÅÌ
1433,11:06:38,4.47,,844,377697,ÂôÅÌ
1434,11:06:33,4.47,-0.01,352,157344,ÂôÅÌ
1435,11:06:28,4.48,,5444,2438912,ÂòÅÌ
1436,11:06:23,4.48,0.01,948,424704,ÂòÅÌ
1437,11:06:18,4.47,-0.01,580,259260,ÂôÅÌ
1438,11:06:13,4.48,0.01,225,100853,ÂòÅÌ
1439,11:06:08,4.47,,505,226146,ÂôÅÌ
1440,11:06:03,4.47,,240,107280,ÂôÅÌ
1441,11:05:58,4.47,0.01,3714,1660265,ÂòÅÌ
1442,11:05:53,4.46,-0.01,9214,4109836,ÂôÅÌ
1443,11:05:48,4.47,,2755,1231502,ÂòÅÌ
1444,11:05:43,4.47,0.01,247,110426,ÂòÅÌ
1445,11:05:38,4.46,,736,328684,ÂôÅÌ
1446,11:05:33,4.46,,2410,1074895,ÂôÅÌ
1447,11:05:28,4.46,-0.01,412,183752,ÂôÅÌ
1448,11:05:23,4.47,0.01,260,116220,ÂòÅÌ
1449,11:05:18,4.46,,749,334464,ÂôÅÌ
1450,11:05:13,4.46,-0.01,288,128448,ÂôÅÌ
1451,11:05:08,4.47,,588,262836,ÂòÅÌ
1452,11:05:03,4.47,0.01,783,350018,ÂòÅÌ
1453,11:04:58,4.46,-0.01,2725,1215760,ÂôÅÌ
1454,11:04:53,4.47,,1483,663133,ÂòÅÌ
1455,11:04:48,4.47,,935,417962,ÂòÅÌ
1456,11:04:43,4.47,,2048,915885,ÂòÅÌ
1457,11:04:38,4.47,,274,122513,ÂòÅÌ
1458,11:04:33,4.47,,325,145686,ÂòÅÌ
1459,11:04:28,4.47,0.01,944,421968,ÂòÅÌ
1460,11:04:23,4.46,-0.01,1779,793808,ÂôÅÌ
1461,11:04:18,4.47,,1041,465452,ÂôÅÌ
1462,11:04:14,4.47,,2888,1290936,ÂôÅÌ
1463,11:04:09,4.47,-0.01,950,425043,ÂôÅÌ
1464,11:04:04,4.48,0.01,5335,2390097,ÂòÅÌ
1465,11:03:59,4.47,-0.01,1804,806388,ÂôÅÌ
1466,11:03:54,4.48,0.01,5492,2460846,ÂòÅÌ
1467,11:03:49,4.47,,2165,967808,ÂôÅÌ
1468,11:03:44,4.47,,4404,1968588,ÂôÅÌ
1469,11:03:39,4.47,,1073,480042,ÂôÅÌ
1470,11:03:34,4.47,-0.01,1920,858669,ÂôÅÌ
1471,11:03:29,4.48,0.01,1348,603904,ÂòÅÌ
1472,11:03:24,4.47,-0.01,1023,457298,ÂôÅÌ
1473,11:03:19,4.48,0.01,3158,1414819,ÂòÅÌ
1474,11:03:14,4.47,,728,325845,ÂôÅÌ
1475,11:03:09,4.47,-0.01,660,295020,ÂôÅÌ
1476,11:03:04,4.48,,631,282705,ÂòÅÌ
1477,11:02:59,4.48,0.01,1116,499968,ÂòÅÌ
1478,11:02:54,4.47,,948,423756,ÂôÅÌ
1479,11:02:49,4.47,,1276,570372,ÂôÅÌ
1480,11:02:44,4.47,,252,112644,ÂòÅÌ
1481,11:02:34,4.47,,7638,3414579,ÂòÅÌ
1482,11:02:34,4.47,,4132,1847004,ÂòÅÌ
1483,11:02:29,4.47,0.01,1098,490841,ÂòÅÌ
1484,11:02:24,4.46,,409,182824,ÂôÅÌ
1485,11:02:19,4.46,,1434,639599,ÂôÅÌ
1486,11:02:09,4.46,-0.01,2237,998112,ÂôÅÌ
1487,11:02:09,4.47,0.02,3146,1406297,ÂòÅÌ
1488,11:02:04,4.45,,1129,502814,ÂôÅÌ
1489,11:01:59,4.45,,2422,1077825,ÂôÅÌ
1490,11:01:54,4.45,,775,344892,ÂôÅÌ
1491,11:01:49,4.45,,1377,613103,ÂòÅÌ
1492,11:01:44,4.45,0.01,1999,889572,ÂòÅÌ
1493,11:01:39,4.44,-0.01,4625,2053908,ÂôÅÌ
1494,11:01:34,4.45,0.01,570,253685,ÂòÅÌ
1495,11:01:29,4.44,-0.01,796,353424,ÂôÅÌ
1496,11:01:24,4.45,,1020,454327,ÂòÅÌ
1497,11:01:19,4.45,,592,263867,ÂòÅÌ
1498,11:01:14,4.45,,348,154860,ÂòÅÌ
1499,11:01:04,4.45,,356,158847,ÂòÅÌ
1500,11:01:04,4.45,,169,75258,ÂòÅÌ
1501,11:00:59,4.45,,386,172161,ÂòÅÌ
1502,11:00:54,4.45,0.01,386,171805,ÂòÅÌ
1503,11:00:49,4.44,,644,286362,ÂôÅÌ
1504,11:00:44,4.44,-0.01,1271,564341,ÂôÅÌ
1505,11:00:39,4.45,0.01,325,145034,ÂòÅÌ
1506,11:00:34,4.44,,173,76865,ÂòÅÌ
1507,11:00:29,4.44,-0.01,4972,2207994,ÂôÅÌ
1508,11:00:23,4.45,,2403,1069352,ÂòÅÌ
1509,11:00:18,4.45,0.01,640,284800,ÂòÅÌ
1510,11:00:13,4.44,,1652,733488,ÂôÅÌ
1511,11:00:03,4.44,,837,372036,ÂôÅÌ
1512,10:59:58,4.44,,1698,753947,ÂôÅÌ
1513,10:59:48,4.44,,522,232158,ÂôÅÌ
1514,10:59:43,4.44,,1368,607392,ÂôÅÌ
1515,10:59:38,4.44,,1536,682126,ÂôÅÌ
1516,10:59:33,4.44,0.01,5143,2283509,ÂòÅÌ
1517,10:59:28,4.43,-0.01,569,252474,ÂôÅÌ
1518,10:59:23,4.44,,1472,653639,ÂòÅÌ
1519,10:59:18,4.44,,1444,641562,ÂòÅÌ
1520,10:59:08,4.44,,191,84821,ÂòÅÌ
1521,10:59:03,4.44,-0.01,651,289416,ÂôÅÌ
1522,10:58:58,4.45,0.01,878,390745,ÂòÅÌ
1523,10:58:53,4.44,,2497,1108721,ÂòÅÌ
1524,10:58:43,4.44,,565,250984,ÂôÅÌ
1525,10:58:38,4.44,-0.01,202,89723,ÂôÅÌ
1526,10:58:33,4.45,0.01,1208,537560,ÂòÅÌ
1527,10:58:28,4.44,,1979,878693,ÂôÅÌ
1528,10:58:23,4.44,,90,40350,ÂôÅÌ
1529,10:58:18,4.44,,1755,779237,ÂôÅÌ
1530,10:58:13,4.44,,748,332538,ÂôÅÌ
1531,10:58:08,4.44,0.01,6185,2746477,ÂòÅÌ
1532,10:58:03,4.43,,900,398912,ÂôÅÌ
1533,10:57:58,4.43,,949,420814,ÂôÅÌ
1534,10:57:53,4.43,,656,290608,ÂôÅÌ
1535,10:57:48,4.43,-0.01,1156,512533,ÂôÅÌ
1536,10:57:43,4.44,0.01,323,143429,ÂòÅÌ
1537,10:57:33,4.43,,551,244110,ÂôÅÌ
1538,10:57:33,4.43,,112,49616,ÂôÅÌ
1539,10:57:28,4.43,,460,204205,ÂôÅÌ
1540,10:57:23,4.43,-0.01,220,97460,ÂôÅÌ
1541,10:57:18,4.44,0.01,3210,1425275,ÂòÅÌ
1542,10:57:13,4.43,-0.01,69,30974,ÂôÅÌ
1543,10:57:08,4.44,,522,231803,ÂòÅÌ
1544,10:57:03,4.44,,145,64788,ÂòÅÌ
1545,10:56:58,4.44,,510,226475,ÂòÅÌ
1546,10:56:53,4.44,,463,205589,ÂòÅÌ
1547,10:56:48,4.44,,222,98958,ÂòÅÌ
1548,10:56:43,4.44,,288,127872,ÂòÅÌ
1549,10:56:38,4.44,,375,166588,ÂôÅÌ
1550,10:56:33,4.44,-0.01,492,218874,ÂôÅÌ
1551,10:56:23,4.45,,1083,481952,ÂòÅÌ
1552,10:56:23,4.45,0.01,283,125952,ÂòÅÌ
1553,10:56:18,4.44,,780,346320,ÂôÅÌ
1554,10:56:13,4.44,-0.01,780,346746,ÂôÅÌ
1555,10:56:08,4.45,,311,138768,ÂòÅÌ
1556,10:56:03,4.45,0.01,892,397367,ÂòÅÌ
1557,10:55:58,4.44,-0.01,1254,556811,ÂôÅÌ
1558,10:55:53,4.45,,308,137487,ÂòÅÌ
1559,10:55:48,4.45,,323,143752,ÂòÅÌ
1560,10:55:38,4.45,,366,163261,ÂòÅÌ
1561,10:55:38,4.45,,1376,612320,ÂòÅÌ
1562,10:55:33,4.45,,96,42862,ÂôÅÌ
1563,10:55:28,4.45,,243,108508,ÂòÅÌ
1564,10:55:23,4.45,,788,350731,ÂôÅÌ
1565,10:55:13,4.45,0.01,646,287790,ÂòÅÌ
1566,10:55:13,4.44,,531,235781,ÂôÅÌ
1567,10:55:08,4.44,-0.01,2635,1169957,ÂôÅÌ
1568,10:55:03,4.45,,82,36881,ÂòÅÌ
1569,10:54:58,4.45,,508,226131,ÂòÅÌ
1570,10:54:53,4.45,0.01,338,150801,ÂòÅÌ
1571,10:54:48,4.44,-0.01,1501,666497,ÂôÅÌ
1572,10:54:43,4.45,,397,176860,ÂòÅÌ
1573,10:54:38,4.45,0.01,1152,513067,ÂòÅÌ
1574,10:54:33,4.44,-0.01,534,237131,ÂôÅÌ
1575,10:54:28,4.45,0.01,405,180634,ÂòÅÌ
1576,10:54:23,4.44,,331,146981,ÂôÅÌ
1577,10:54:18,4.44,-0.01,405,180228,ÂôÅÌ
1578,10:54:13,4.45,0.01,423,188252,ÂòÅÌ
1579,10:54:08,4.44,-0.01,992,440874,ÂôÅÌ
1580,10:54:03,4.45,,1310,582985,ÂòÅÌ
1581,10:53:58,4.45,,995,442792,ÂòÅÌ
