代码,名称,营业利润,投资收益,利润总额,税后利润,净利润,未分利润,经营现金流,总现金流,股东人数,人均持股,人均市值,换手%%,涨速%%,最低,昨收
000544,中原环保,4357.51,900,4658.35,3812.56,3695.18,14527.35,-4878.31,775.95,29602,9103,11.43万,1.64,-0.31,12,12.63
000545,金浦钛业,6921.5,4930.66,7693.92,6509.64,6509.64,71909.93,1358.79,-6961.16,18745,21690,23.14万,0,--  ,--  ,10.67
000546,金圆股份,-102.66,2932.95,272.64,1098.93,1145.07,35828.28,3399.25,-3737.51,18438,9186,6.70万,5.43,0,6.78,7.33
000547,航天发展,20980.82,25831.85,21712.52,16570.32,15512,72515.74,9310.65,108035.61,69900,11943,17.65万,4.9,-0.2,14.27,15.86
000548,湖南投资,234.13,-48.13,298.79,-76.6,436.78,38942.98,10429.67,5967.06,69744,7158,5.44万,7.32,0,7.6,8.44
000550,江铃汽车,106428.65,194.22,126745.61,108153.22,108153.22,871106.19,23062.11,-25470.14,29331,17641,44.40万,1.55,0.23,21.49,22.88
000551,创元科技,3931.37,423.62,5067.49,4119.68,2148.59,45426.82,-152.16,-7993.71,28442,14067,10.63万,3.38,-0.26,7.3,7.83
000552,靖远煤电,13988.17,0,13991.48,12475.87,12471.92,158755.7,-20854.17,110581.51,34032,10406,8.46万,3.86,0.86,7.15,7.62
000553,沙隆达Ａ,15762.11,0,16054.37,11764.42,11767.8,101533.61,-1927.67,896.19,55484,6558,7.02万,0,--  ,--  ,10.7
000554,泰山石油,883.1,-10.7,496.67,371.23,192.97,13626.15,-1885.15,-3976.15,67421,5379,4.50万,12.75,0,8.36,9.29
000555,神州信息,9410.86,1400.35,10570.28,9536.98,11148.25,89864.75,-53399.51,-20479.28,10855,10788,33.66万,6.74,0,31.2,34.67
000557,*ST广夏,26.52,182.65,18.12,5.88,5.98,-156459.5,-530.03,-12515.25,62457,10695,6.11万,3.76,0,5.44,5.44
000558,莱茵体育,286.63,-131.46,243.41,-1119.71,-2592.7,17992.86,-5126.3,-8416.57,34463,18275,29.88万,5.73,0,16.35,18.17
000559,万向钱潮,51653.34,9989.71,53008.96,49011.23,44865.65,103263.13,59566.86,-165155.77,106890,21423,33.63万,5.06,-0.38,14.2,15.53
000560,昆百大Ａ,536.07,345.6,742.67,366.76,429.95,70221.84,-1815.06,76887.28,10258,16126,26.69万,1.65,0,16.55,18.39
000561,烽火电子,994.78,56.81,1305.37,852.6,595.15,30084.49,-15081,-18237.09,43783,13567,11.23万,3.67,0,8.28,9.2
000563,陕国投Ａ,38567.71,40160.05,38568.9,28891.05,28891.05,108008.82,48208.19,48725.6,55491,21889,20.18万,1.62,-0.21,8.22,8.79
000564,西安民生,3859.4,631.73,4283.15,3791.65,3667.55,36727.6,8859.44,11964.87,46901,7160,5.76万,9.92,-0.12,7.83,8.54
000565,渝三峡Ａ,15324.12,13709.7,15353.51,15157.48,15157.48,32001.31,-732.59,6604.31,31691,13682,13.19万,6.28,0,9.64,10.71
000566,海南海药,13379.9,1108.68,13816.8,11627.15,11409.85,49926.62,-473.62,-45015.85,23919,20667,103.27万,0,--  ,--  ,49.97
000567,海德股份,1379.52,1171.25,1380.15,1425.85,1427.29,-5911.6,246.35,1055.68,12661,11876,15.02万,6.04,-0.31,12.21,13.57
000568,泸州老窖,134435.98,23252.06,134726.8,106021.36,102147.5,614195.75,-123407.85,-127101.11,103874,13483,29.34万,2.32,0.09,20.51,21.4
000570,苏常柴Ａ,4488.93,490.06,4572.08,3821.73,3756.33,58192.68,4672.76,-3563.84,56034,7342,5.55万,2.62,-0.26,7.49,8.06
000571,新大洲Ａ,6806.12,5848.1,6767.77,5216.74,5019.75,70189.68,-14777.4,11764.62,100495,7321,3.68万,2.13,-0.19,4.92,5.18
000572,海马汽车,24758.5,-637.4,25894.4,21536.82,19352.6,187764.66,62569.18,-32225.16,98175,16726,9.77万,2.8,-1.01,5.17,5.66
000573,粤宏远Ａ,-2621.12,489.57,-2719.34,-2831.3,-2485.6,17889.3,4808.64,-9469.74,66433,9367,4.09万,3.12,-0.68,4.15,4.53
000576,广东甘化,-2733.74,0,-2445.49,-2445.61,-2445,-31603.46,-5951.06,-1608.58,27139,9439,8.80万,4.52,-0.32,9.12,9.85
000581,威孚高科,113800.1,78233.84,115827.47,107008.95,104598.71,620849,43828.6,-62631.4,53249,15921,36.95万,3.28,-0.04,21.6,22.76
000582,北部湾港,29395.09,3.77,29354.39,25051.61,24599.76,177045.86,31154.53,125246.35,25292,5617,9.12万,2.32,0.68,14.5,15.38
000584,友利控股,6011.85,-162.35,6135.73,3923.91,4255.05,55995.88,8091.68,1839,44770,13639,13.18万,3.74,0.31,9.62,10.69
000585,东北电气,-130.21,56.18,-125.64,-156.36,-156.13,-154408.56,-2897.24,-5637.06,95447,6385,3.24万,8.52,-0.58,4.99,5.54
000586,汇源通信,-430.5,7.15,-86.55,-65.29,95.1,-5676.87,-4641.1,-6162.75,16414,11785,23.20万,0,--  ,--  ,19.69
000587,金叶珠宝,8541.08,0,8892.55,7028.81,7175.83,40053.65,2963.45,-1186.47,33383,16689,32.71万,0,--  ,--  ,19.6
000589,黔轮胎Ａ,8054.08,1367.25,8095.2,6584.99,6551.71,106541.15,61240.36,69068.2,76964,9685,5.48万,3.89,0,5.5,5.92
000590,*ST古汉,1373.83,43,1464.68,1130.25,1130.25,-22695.3,-231.4,348.03,13896,16065,32.79万,0,--  ,--  ,20.41
000591,桐 君 阁,1219,22.16,1282.12,854.25,1900.49,3954.65,3307.68,4296.72,25668,10699,13.62万,3.27,0.07,12.7,13.92
000592,平潭发展,2258.7,198.9,3777.03,3479.33,3090.43,-25789.39,-1687.34,6438.87,37173,22535,27.67万,6.51,0,12.28,13.64
000593,大通燃气,995.37,13.75,1006.75,690.03,690.03,11149.13,1451.64,-13585.47,32091,6954,5.62万,10.05,0,8.08,8.98
000595,宝塔实业,-4527.66,0,-4442.56,-4443.15,-4443.15,-35318.4,-3749.31,13459.8,22608,9590,10.81万,0,--  ,--  ,11.27
000596,古井贡酒,50434.96,3829.81,51305.48,38050.46,38050.48,238872.55,33621.76,22176.82,27386,14007,41.76万,1.46,0.23,28.34,29.7
000597,东北制药,-8197.35,239.63,-7698.6,-8442.55,-8612.6,23529.3,-12282.3,-28246.25,45238,9694,6.74万,2.25,-0.14,6.7,7.18
000598,兴蓉环境,48398.85,7681.7,54746.76,43996.05,43591.15,291095.78,59360.28,-52774.38,192219,15536,9.91万,3.03,0.31,6,6.36
000599,青岛双星,2469.73,1123.75,3416.34,2671.03,2624.43,59674.7,110.74,404.68,60106,8731,5.57万,3.52,-0.77,6.21,6.8
000600,建投能源,180262.95,40363.15,181185.3,146639.31,109441.97,320472.94,168929.45,-88121.86,61812,17635,16.07万,2.36,-0.43,8.22,8.62
000601,韶能股份,20251,0,20734.98,15046.62,13974.98,66103.31,34483.9,2080.48,97613,10183,12.83万,0,--  ,--  ,12.6
000603,盛达矿业,28838.43,19.73,28828.24,21564.07,13492.25,73950.71,17360.07,12714.58,32435,13589,18.48万,2.68,-0.29,12.05,12.98
000605,渤海股份,1894.74,-787.59,1937.99,1005.4,1102.85,25062.25,6878.06,-4920.9,7589,15606,20.97万,4.08,0.22,13.35,14.83
000606,青海明胶,-4622.21,-12.15,-4706.14,-4771.47,-4251.97,-13774.25,647.84,-8433.16,39567,10260,6.59万,3.27,-0.46,6.3,6.8
000607,华媒控股,8773.92,2561.08,8942.24,8746.26,7130.43,49970.67,-19710.77,10527.45,44719,10907,8.35万,3.36,-0.9,7.5,7.93
000608,阳光股份,2274.6,4012.8,2048.1,239.6,-1663.4,173571.8,-4683.4,-7450.7,53589,13994,6.00万,3.55,0.94,4.1,4.4
000609,绵世股份,-301.55,2362.11,-414.47,-613.46,-393.13,86020.61,1044.57,6578.87,30139,9095,9.28万,8.94,0,10.2,11.33
000610,西安旅游,-966.2,213.74,-898.57,-900.1,-866.32,10019.55,-1481.17,-1013.07,27097,7199,7.20万,4.45,0.1,9.79,10.69
