代码,名称,AB股总市值,B股(或A),H股,上市日期,买量,人均市值,人均持股,今开,公积金,内外比,内盘,净利润,净利润率%%,净益率%%,净资产,利润同比%%,利润总额,卖量,固定资产,地区,均价,外盘,存货,少数股权,市净率,市现率,市盈(动),市销率,应收帐款,强弱度%%,总现金流,总股本(万),总资产(万),总金额,投资收益,振幅%%,换手%%,收入同比%%,无形资产,昨收,最低,最高,未分利润,未匹配量,权益比,每笔均量,每笔换手,每股公积,每股净资,每股收益,每股未分配,活跃度,流动负债,流动资产,流通市值,流通股本(万),涨速%%,税后利润,细分行业,经营现金流,股东人数,营业利润,营业利润率%%,营业成本,营业收入,调整后净资,财务更新,资产负债率%%,量比,销售毛利率%%
002081,金 螳 螂,        262.74亿,0.0,0.0,20061120.0,59427.0,53.12万,35625.0,13.69,15882.98,1.58,305457.0,85368.9,9.64,         10.87㈡,785645.0,5.04,102329.68,164.0,98782.68,江苏,14.57,193473.0,17644.55,15120.01,3.34,-28.69,15.39,2.97,1590796.5,2.83,-84964.31,176220.56,2214277.5,726930688.0,4755.93,10.24,2.97,2.35,8724.58,14.65,13.6,15.1,539925.69,--  ,35.48,133.0,0.0008,0.09,4.46,0.484㈡,3.06,3757.0,1340073.63,1970732.25,        250.32亿,167890.28,0.06,85122.63,装修装饰,-91578.46,47127.0,101953.77,11.51,727643.75,885944.19,0.0,20150829.0,63.84,0.86,17.87
002082,栋梁新材,         25.42亿,0.0,0.0,20061120.0,111.0,10.00万,9362.0,10.12,24181.27,1.14,35408.0,4811.15,1.01,          3.64㈡,132195.11,-11.14,5701.83,795.0,39323.78,浙江,10.7,31183.0,34353.12,739.46,1.92,101.03,26.42,0.53,14695.88,2.39,-1359.03,23800.0,157907.06,71244632.0,61.37,11.39,3.46,-11.46,5948.41,10.54,10.0,11.2,75778.96,--  ,83.72,39.0,0.002,1.02,5.55,0.202㈡,3.18,1690.0,23749.36,105660.8,         20.53亿,19223.43,-0.18,5078.99,铝,2515.85,20534.0,5702.83,1.19,467355.84,477974.44,0.0,20150821.0,15.81,0.74,2.22
002083,孚日股份,         52.12亿,0.0,0.0,20061124.0,175.0,4.72万,8220.0,5.6,126124.97,1.01,80408.0,15799.0,7.25,          5.57㈡,283564.88,16.43,21342.15,989.0,291536.31,山东,5.83,79955.0,187102.06,239.03,1.84,11.28,16.49,2.39,41928.9,-0.99,-3239.95,90800.0,685253.25,93423328.0,2097.2,10.92,1.9,-10.12,31474.18,5.86,5.51,6.15,53557.13,--  ,41.38,57.0,0.0007,1.39,3.12,0.174㈡,0.59,2800.0,338888.19,327496.88,         48.49亿,84472.72,-0.51,15887.79,纺织,46196.8,102762.0,22182.81,10.18,170687.8,217884.2,0.0,20150820.0,58.58,0.58,21.66
002084,海鸥卫浴,         32.40亿,0.0,0.0,20061124.0,0.0,8.83万,11071.0,7.99,2716.5,1.21,111807.0,1604.97,1.94,          2.00㈡,80112.53,20.93,2018.93,816.0,49040.68,广东,8.32,92273.0,35902.25,3010.91,4.04,23.16,100.95,3.91,31288.02,-8.97,10787.0,40605.57,168615.36,169859056.0,-655.07,11.5,5.51,7.08,6422.8,8.87,7.98,9.0,30149.4,--  ,47.51,65.0,0.0018,0.07,1.97,0.040㈡,0.74,3127.0,73420.78,105339.26,         29.53亿,37005.57,-0.37,1531.17,家居用品,13988.5,33427.0,1971.75,2.38,65281.3,82794.9,0.0,20150724.0,50.7,0.86,21.15
002085,万丰奥威,        124.44亿,0.0,0.0,20061128.0,15.0,119.83万,82642.0,13.8,47381.48,0.95,69071.0,26275.4,9.54,         11.84㈡,221930.02,29.84,37060.01,978.0,112378.27,浙江,14.04,72535.0,44954.44,48104.42,5.61,29.23,23.68,4.52,95333.31,-1.1,-12357.57,85821.77,545153.13,198763776.0,1148.91,14.3,1.71,6.74,66917.97,14.82,13.34,15.46,118994.32,--  ,40.71,48.0,0.0006,0.55,2.59,0.306㈡,1.39,2934.0,192793.3,259661.66,        120.02亿,82774.1,5.83,30788.64,汽车配件,42567.93,10016.0,37574.03,13.65,206731.31,275304.44,0.0,20150828.0,50.47,1.21,24.91
002086,东方海洋,         30.94亿,0.0,0.0,20061128.0,435.0,14.59万,11494.0,12.85,68334.71,1.08,56145.0,4001.1,11.79,          2.77㈡,144405.25,16.14,4018.86,615.0,132477.22,山东,13.28,52060.0,93673.17,2701.28,2.14,35.0,38.67,9.12,18309.49,-8.68,36480.32,24385.0,301622.69,143705232.0,0.0,13.87,4.55,12.74,4824.28,14.06,12.65,14.6,45534.21,--  ,47.88,42.0,0.0018,2.8,5.92,0.164㈡,1.87,2554.0,125004.36,158851.88,         30.18亿,23780.85,-0.07,4018.06,渔业,8841.67,20690.0,3721.85,10.97,24281.77,33928.92,0.0,20150710.0,51.23,0.7,28.43
002087,新野纺织,         29.47亿,0.0,0.0,20061130.0,0.0,6.99万,12324.0,5.85,60063.68,0.69,134617.0,4237.21,2.94,          2.17㈡,195114.13,5.18,5247.96,18951.0,212055.02,河南,5.79,195457.0,113204.46,0.0,1.51,-53.13,34.78,2.05,45188.48,-8.94,2835.5,51975.83,597767.63,191078656.0,-18.15,9.68,6.35,-11.28,17725.15,6.3,5.67,6.28,71498.06,--  ,32.64,111.0,0.0021,1.16,3.75,0.082㈡,1.38,2967.0,206512.41,308766.47,         29.46亿,51961.78,0.0,4237.21,纺织,-5546.41,42162.0,3972.43,2.76,122097.01,143880.88,0.0,20150826.0,67.36,1.02,15.14
002088,鲁阳股份,         32.52亿,0.0,0.0,20061130.0,170.0,11.23万,8081.0,14.0,53795.51,0.89,49883.0,1327.06,2.66,          0.85㈡,155828.31,-53.37,1491.12,31.0,73568.65,山东,14.52,56004.0,23682.25,0.0,2.09,45.23,122.54,6.52,59349.91,-6.27,-4417.81,23397.86,201687.81,153737568.0,5.76,10.67,7.93,-10.56,14593.23,15.0,13.7,15.3,66298.43,--  ,77.26,45.0,0.0033,2.3,6.66,0.057㈡,2.83,2373.0,44253.8,101517.31,         18.55亿,13347.79,0.57,1327.06,矿物制品,7190.06,16518.0,802.4,1.61,34709.43,49887.51,0.0,20150813.0,22.74,1.36,30.42
002089,新 海 宜,         71.48亿,0.0,0.0,20061130.0,1684.0,13.24万,12727.0,10.0,36637.26,0.84,109673.0,8548.46,11.09,          4.66㈡,183413.73,50.77,8103.37,65.0,79499.97,江苏,10.34,130566.0,50558.15,9322.07,3.9,83.42,41.81,9.27,65063.1,-1.38,4605.85,68733.47,430896.06,248477616.0,2041.1,12.2,5.04,93.93,21872.45,10.66,9.85,11.15,70307.86,--  ,42.57,79.0,0.0017,0.53,2.67,0.124㈡,1.02,3024.0,202725.88,226518.0,         49.56亿,47649.28,2.76,7350.81,通信设备,8568.86,37439.0,5620.39,7.29,57679.36,77105.59,0.0,20150826.0,55.27,0.93,25.19
002090,金智科技,         61.90亿,0.0,0.0,20061208.0,0.0,28.18万,10302.0,--  ,32714.08,--  ,0.0,8067.88,14.25,          8.21㈡,98307.17,121.72,9397.17,0.0,20883.72,江苏,27.35,0.0,28082.43,7654.93,5.78,-127.29,38.36,10.94,50784.57,1.06,8043.52,22631.83,204056.52,0.0,4923.99,0.0,0.0,4.04,2570.06,27.35,--  ,--  ,38280.1,--  ,48.18,--  ,--  ,1.45,4.73,0.390㈡,1.69,0.0,70781.55,139587.77,         52.34亿,19137.71,--  ,8071.36,软件服务,-4862.81,18576.0,7730.61,13.66,38650.4,56597.51,4.73,20150818.0,48.07,0.0,31.71
002091,江苏国泰,         94.39亿,0.0,0.0,20061208.0,0.0,39.11万,14914.0,--  ,4636.56,--  ,0.0,12058.46,4.14,          7.47㈡,161426.22,30.71,16672.6,0.0,34938.96,江苏,26.22,0.0,45119.55,12737.75,5.85,-47.31,39.14,3.24,81381.56,1.06,-1706.14,36000.0,306906.69,0.0,477.43,0.0,0.0,4.58,5539.75,26.22,--  ,--  ,104478.05,--  ,52.6,--  ,--  ,0.13,4.48,0.335㈡,2.9,0.0,129787.86,234181.8,         91.61亿,34938.53,--  ,12693.42,商贸代理,-19951.56,23426.0,16541.53,5.68,247547.27,291110.72,0.0,20150805.0,43.25,0.0,14.96
002092,中泰化学,        116.36亿,0.0,0.0,20061208.0,0.0,13.32万,15910.0,--  ,569149.31,--  ,0.0,1443.62,0.21,          0.17㈡,869215.88,-91.96,7604.71,0.0,2054509.25,新疆,8.37,0.0,120900.26,161416.23,1.34,-338.58,403.03,1.68,52724.48,1.06,-22863.57,139023.91,3400492.5,0.0,-44.61,0.0,0.0,30.26,59992.36,8.37,--  ,--  ,135653.41,--  ,25.56,--  ,--  ,4.09,6.25,0.010㈡,0.98,0.0,1320818.75,724368.31,        103.99亿,124247.15,--  ,3515.73,化工原料,-3436.76,78094.0,-9241.25,-1.33,537835.5,694672.44,0.0,20150827.0,69.69,0.0,22.58
002093,国脉科技,         84.60亿,0.0,0.0,20061215.0,366.0,12.29万,12569.0,9.89,1221.85,0.89,209252.0,1937.09,9.23,          1.46㈡,132283.5,-48.6,1816.98,4257.0,51703.78,福建,10.27,236266.0,82094.36,715.06,6.4,-63.11,218.36,40.33,19076.97,-7.62,-16234.19,86500.0,246718.42,457378304.0,-585.46,16.71,5.22,30.95,13554.3,10.71,9.7,11.49,39647.59,--  ,53.62,114.0,0.0013,0.01,1.53,0.022㈡,0.46,3916.0,35295.48,117562.05,         83.41亿,85291.22,-0.2,1800.86,电信运营,-13404.22,67856.0,1551.22,7.39,7062.71,20978.6,0.0,20150828.0,46.09,0.84,66.33
002094,青岛金王,         42.30亿,0.0,0.0,20061215.0,0.0,18.14万,13806.0,--  ,1582.7,--  ,0.0,3590.15,7.34,          5.40㈡,66531.11,89.86,5989.18,0.0,17169.48,山东,13.14,0.0,21819.57,3013.45,6.36,607.91,58.91,8.65,31179.1,1.06,4763.64,32191.66,149418.63,0.0,1176.64,0.0,0.0,-14.67,1207.14,13.14,--  ,--  ,31349.96,--  ,44.53,--  ,--  ,0.05,2.07,0.112㈡,0.97,0.0,60021.8,88425.86,         42.29亿,32184.16,--  ,4892.35,日用化工,695.82,23312.0,5918.53,12.11,35474.95,48891.95,0.0,20150829.0,53.46,0.0,27.44
002095,生 意 宝,        100.58亿,0.0,0.0,20061215.0,7.0,28.18万,7080.0,35.01,1174.25,2.02,112477.0,1721.7,23.62,          3.49㈡,49288.68,-14.61,2185.26,1008.0,7132.22,浙江,40.41,55656.0,0.0,1257.89,20.41,633.88,292.1,137.97,843.37,3.93,495.87,25272.0,59222.9,679365440.0,-138.78,19.51,6.69,-18.33,0.0,38.69,35.01,42.56,19442.02,--  ,83.23,45.0,0.0018,0.05,1.95,0.068㈡,0.77,3738.0,8312.78,47808.17,        100.04亿,25135.98,-0.25,1737.5,互联网,1586.78,35501.0,2184.99,29.97,960.65,7290.28,0.0,20150821.0,14.65,1.27,86.82
002096,南岭民爆,         46.86亿,0.0,0.0,20061222.0,411.0,23.18万,18371.0,13.0,64816.63,1.07,26945.0,5450.89,6.89,          2.53㈡,215701.63,-24.73,7948.6,150.0,90235.1,湖南,12.93,25145.0,20280.02,10074.25,2.17,-62.4,42.98,5.92,23907.14,-6.69,-14905.44,37128.69,323356.13,67349696.0,39.79,11.26,1.97,8.76,42030.03,13.68,12.46,14.0,85938.55,--  ,66.71,31.0,0.0012,1.75,5.81,0.147㈡,2.31,1677.0,84713.43,110854.57,         33.30亿,26386.01,0.63,6214.53,化工原料,-7509.43,14363.0,7629.21,9.64,47353.35,79162.43,0.0,20150829.0,30.18,0.9,40.18
002097,山河智能,         99.55亿,0.0,0.0,20061222.0,0.0,12.42万,9421.0,--  ,121970.57,--  ,0.0,305.36,0.4,          0.13㈡,242089.3,-78.33,643.3,0.0,144763.92,湖南,13.18,0.0,126427.21,4898.3,4.11,-44.51,1630.07,13.19,212181.02,1.06,-14152.05,75532.5,763749.75,0.0,-123.3,0.0,0.0,-28.67,80990.4,13.18,--  ,--  ,57678.38,--  ,31.7,--  ,--  ,1.61,3.21,0.004㈡,0.76,0.0,482978.75,524711.63,         82.95亿,62939.23,--  ,162.21,工程机械,-22366.47,66805.0,-4871.72,-6.46,53856.41,75465.61,0.0,20150827.0,67.66,0.0,28.63
002098,浔兴股份,         24.21亿,0.0,0.0,20061222.0,342.0,7.30万,9347.0,7.74,5675.12,0.99,37889.0,4528.52,8.38,          6.33㈡,71524.6,-14.61,5626.87,582.0,54001.07,福建,8.12,38390.0,21878.2,0.0,3.38,44.11,26.73,4.48,31777.4,-8.13,-2002.74,31000.0,145772.06,61966712.0,73.04,14.07,3.83,0.04,7933.62,8.6,7.74,8.95,29595.84,--  ,49.07,34.0,0.0017,0.18,2.31,0.146㈡,0.95,2242.0,73735.2,65554.59,         15.54亿,19894.5,0.12,4528.52,服饰,5489.33,21284.0,5266.97,9.74,36874.31,54065.3,0.0,20150826.0,50.93,0.68,31.8
002099,海翔药业,        128.97亿,0.0,0.0,20061226.0,118.0,11.41万,6706.0,16.51,233789.84,1.11,113443.0,33190.1,26.01,          9.82㈡,337882.88,4489.59,39470.2,2062.0,117812.26,浙江,17.65,102062.0,55050.65,-893.32,3.82,80.01,19.43,10.11,30974.52,-2.94,-15663.88,75775.85,415519.72,380363648.0,-111.1,14.44,6.73,128.02,41805.7,17.73,16.21,18.77,39148.46,--  ,81.32,57.0,0.0018,3.09,4.46,0.450㈡,0.52,3779.0,62009.63,131470.98,         54.48亿,32012.32,0.0,32867.68,化学制药,16118.32,47736.0,38601.45,30.25,64127.26,127612.95,0.0,20150827.0,18.9,0.96,49.75
002100,天康生物,         69.65亿,0.0,0.0,20061226.0,373.0,4.40万,6081.0,7.2,56439.5,1.19,58642.0,14054.62,6.79,          6.26㈡,224608.05,37.75,15628.62,865.0,129448.61,新疆,7.4,49396.0,84142.38,2979.75,3.1,96.8,24.78,3.36,42528.18,-3.56,-3024.75,96338.46,386142.97,79900320.0,3099.32,10.95,2.28,13.83,14101.97,7.58,7.02,7.85,60845.26,--  ,58.17,41.0,0.0009,0.59,2.33,0.146㈡,0.63,2632.0,143591.5,217411.66,         34.21亿,47317.78,-0.27,13945.07,饲料,7195.82,77809.0,14476.04,6.99,163883.42,207068.75,0.0,20150829.0,41.06,1.01,20.86
002101,广东鸿图,         29.25亿,0.0,0.0,20061229.0,29.0,24.90万,16320.0,14.53,69764.46,1.1,17302.0,5234.16,4.96,          3.78㈡,138582.88,-13.49,6174.66,10.0,88793.9,广东,15.39,15693.0,36928.82,0.0,2.11,-558.53,27.94,2.77,61907.41,-0.99,-7493.52,19170.0,258220.77,50793948.0,0.0,11.94,1.72,1.07,10945.33,15.58,14.53,16.39,41109.81,--  ,53.67,23.0,0.0012,3.64,7.23,0.273㈡,2.14,1435.0,101325.8,124643.77,         29.25亿,19169.25,-0.13,5234.16,机械基件,-523.76,11746.0,6074.15,5.75,82173.99,105559.51,0.0,20150824.0,46.33,0.58,22.15
002102,冠福股份,         72.51亿,0.0,0.0,20061229.0,0.0,6.08万,6110.0,--  ,167788.73,--  ,0.0,2909.37,3.34,          1.10㈡,264772.59,1043.54,4297.87,0.0,69278.5,福建,9.95,0.0,46714.12,2516.83,2.74,54.67,124.61,8.33,26364.45,1.06,4059.12,72872.75,468730.5,0.0,-63.15,0.0,0.0,27.19,28453.05,9.95,--  ,--  ,16396.81,--  ,56.49,--  ,--  ,2.3,3.63,0.040㈡,0.23,0.0,153724.06,132807.7,         25.57亿,25697.93,--  ,2846.26,陶瓷,13262.75,42062.0,1202.62,1.38,68146.25,86994.9,0.0,20150825.0,42.98,0.0,21.67
002103,广博股份,         53.46亿,0.0,0.0,20070110.0,0.0,36.48万,20821.0,17.52,95917.61,0.56,11893.0,2481.63,4.46,          1.59㈡,156190.17,337.51,3154.34,7411.0,27689.53,浙江,17.87,21118.0,22026.78,422.81,3.42,-133.5,107.7,9.61,24308.88,-8.96,-3439.75,30511.83,207554.11,59006416.0,604.35,12.69,1.93,38.42,9357.12,19.47,17.52,19.99,24970.15,--  ,75.25,19.0,0.0011,3.14,5.12,0.110㈡,0.82,1696.0,50186.96,84579.53,         29.98亿,17110.5,0.0,2492.03,文教休闲,-4004.15,8218.0,2885.03,5.19,44195.62,55611.53,0.0,20150829.0,24.54,0.65,20.53
002104,恒宝股份,        102.34亿,0.0,0.0,20070110.0,304.0,10.80万,7530.0,12.9,8033.07,2.29,510538.0,12355.83,16.16,          9.40㈡,131460.81,23.2,13493.88,368.0,33397.98,江苏,14.55,223422.0,34617.95,0.0,7.79,-92.41,41.42,13.38,31984.11,6.03,-19367.89,71320.0,172492.42,1067702912.0,1377.71,16.39,13.43,26.06,2676.83,13.67,12.8,15.04,39982.53,--  ,76.21,180.0,0.0033,0.11,1.84,0.173㈡,0.56,4085.0,40494.26,132072.16,         78.45亿,54667.94,-0.34,12355.83,元器件,-11074.5,72605.0,11927.0,15.6,49912.53,76469.28,0.0,20150828.0,23.79,1.55,34.73
002105,信隆实业,         21.37亿,0.0,0.0,20070112.0,98.0,8.56万,14763.0,5.75,6092.15,1.05,37340.0,85.83,0.13,          0.17㈡,50820.35,-15.32,25.7,2712.0,46670.26,深圳,5.9,35447.0,22340.05,6148.58,4.21,31.39,1245.08,3.22,28792.26,-3.07,5328.51,36850.0,139619.16,42947596.0,70.85,10.41,1.98,-12.46,8418.19,6.05,5.65,6.28,3062.03,--  ,36.4,34.0,0.0009,0.17,1.38,0.002㈡,0.08,2142.0,75754.25,79093.96,         21.37亿,36850.0,1.04,-473.96,文教休闲,6809.45,24961.0,-129.44,-0.19,57380.73,66415.6,0.0,20150814.0,59.2,0.59,13.6
002106,莱宝高科,        115.90亿,0.0,0.0,20070112.0,0.0,18.87万,11492.0,--  ,207783.98,--  ,0.0,-9306.01,-7.65,         -2.36㈡,394850.75,-380.32,-11509.92,0.0,187461.95,深圳,16.42,0.0,40110.76,6107.56,2.94,-1131.59,--  ,9.52,63889.26,1.06,-14243.36,70581.61,473004.31,0.0,262.98,0.0,0.0,9.99,15866.85,16.42,--  ,--  ,87261.31,--  ,83.48,--  ,--  ,2.94,5.59,-0.132㈡,1.24,0.0,49202.78,241085.25,        113.50亿,69121.54,--  ,-9243.73,元器件,-1024.18,60146.0,-12089.32,-9.93,118713.01,121696.52,0.0,20150827.0,15.23,0.0,2.45
002107,沃华医药,         57.00亿,0.0,0.0,20070124.0,35.0,7.60万,4807.0,15.54,6255.37,1.13,34699.0,3828.4,20.41,          6.61㈡,57898.69,691.7,4070.33,261.0,18743.57,山东,16.36,30602.0,3744.71,3658.37,9.84,61.13,74.44,30.39,3967.4,-6.76,-2215.29,36075.6,70618.34,106819480.0,0.0,13.13,3.9,10.7,5613.06,17.14,15.54,17.79,12746.76,--  ,81.99,25.0,0.0015,0.17,1.6,0.110㈡,0.35,2633.0,8662.95,43523.65,         26.48亿,16757.19,-0.06,4011.21,中成药,9324.08,34859.0,3483.76,18.57,4418.87,18755.23,0.0,20150706.0,12.83,0.77,76.44
002108,沧州明珠,         78.36亿,0.0,0.0,20070124.0,876.0,14.20万,11209.0,11.0,45052.35,1.58,276201.0,8996.46,9.25,          5.39㈡,166796.97,21.62,11833.41,789.0,67644.6,河北,12.48,174713.0,27838.68,3152.45,4.7,107.73,43.55,8.06,70749.56,8.25,-8571.17,61845.8,262345.0,562733120.0,432.64,18.53,7.8,0.75,8746.74,11.82,10.81,13.0,50691.51,--  ,63.58,111.0,0.0019,0.73,2.7,0.145㈡,0.82,4077.0,89093.56,157174.92,         73.27亿,57826.32,0.39,9065.07,塑料,7273.77,51590.0,11954.11,12.29,75078.55,97278.09,0.0,20150821.0,35.22,0.9,22.82
002109,兴化股份,         30.61亿,0.0,0.0,20070126.0,0.0,15.06万,17630.0,--  ,19684.25,--  ,0.0,-5724.15,-13.79,         -5.19㈡,110288.97,-42.31,-5685.43,0.0,128029.42,陕西,8.54,0.0,8972.2,768.0,2.78,-450.67,--  ,7.38,10390.55,1.06,491.37,35840.0,192349.75,0.0,40.0,0.0,0.0,-6.87,3763.71,8.54,--  ,--  ,40004.95,--  ,57.34,--  ,--  ,0.55,3.08,-0.160㈡,1.12,0.0,65226.48,42620.65,         30.61亿,35840.0,--  ,-5715.39,化工原料,-679.15,20329.0,-5361.91,-12.92,38214.59,41498.55,0.0,20150829.0,42.26,0.0,7.91
002110,三钢闽光,         51.38亿,0.0,0.0,20070126.0,0.0,20.89万,21734.0,--  ,70618.5,--  ,0.0,-26914.47,-4.1,        -11.61㈡,231804.8,-522.38,-31241.59,0.0,413858.66,福建,9.61,0.0,152874.45,0.0,2.22,9.46,--  ,0.78,519.5,1.06,8252.03,53470.0,800179.31,0.0,475.8,0.0,0.0,-28.27,760.53,9.61,--  ,--  ,77806.0,--  ,28.97,--  ,--  ,1.32,4.34,-0.503㈡,1.46,0.0,443652.59,318117.81,         51.38亿,53470.0,--  ,-26914.48,普钢,54325.96,24602.0,-31868.49,-4.85,660259.06,657049.06,0.0,20150827.0,71.03,0.0,-0.49
002111,威海广泰,        107.28亿,0.0,0.0,20070126.0,0.0,39.73万,13374.0,--  ,96388.32,--  ,0.0,5779.98,10.71,          3.06㈡,188654.31,20.12,6651.31,0.0,54767.98,山东,29.71,0.0,65349.06,4534.45,5.69,-148.93,92.8,19.88,65161.13,1.06,2193.57,36109.01,302814.69,0.0,534.03,0.0,0.0,10.58,18686.85,29.71,--  ,--  ,49005.6,--  ,62.3,--  ,--  ,2.67,5.22,0.190㈡,1.36,0.0,100630.47,171356.11,         78.33亿,26366.33,--  ,5779.98,航空,-7203.43,19715.0,6262.56,11.61,35893.82,53956.86,0.0,20150829.0,36.2,0.0,33.48
002112,三变科技,         38.55亿,0.0,0.0,20070208.0,0.0,17.44万,9121.0,--  ,6915.07,--  ,0.0,575.12,1.51,          1.20㈡,48049.59,-18.66,586.76,0.0,22219.02,浙江,19.12,0.0,26277.51,0.0,8.02,187.88,335.11,10.14,53169.63,1.06,-3531.53,20160.0,135559.36,0.0,229.83,0.0,0.0,-2.19,4424.87,19.12,--  ,--  ,17566.45,--  ,35.45,--  ,--  ,0.34,2.38,0.029㈡,0.87,0.0,86834.75,104741.75,         34.64亿,18115.81,--  ,586.76,电气设备,2051.58,19862.0,586.37,1.54,28814.09,38023.3,0.0,20150827.0,64.55,0.0,24.22
002113,天润控股,         29.60亿,0.0,0.0,20070208.0,30.0,25.38万,10153.0,21.68,13726.45,0.55,36117.0,-228.38,-28.47,         -2.47㈡,9262.83,-417.68,-182.41,66.0,143.03,湖南,24.04,66107.0,0.0,0.0,31.96,-665.69,--  ,369.05,260.64,10.23,-444.65,11840.0,11232.01,245705248.0,0.0,16.64,8.63,-4.18,9598.82,22.9,21.37,25.18,-21816.39,--  ,82.47,54.0,0.0046,1.16,0.78,-0.019㈡,-1.84,1889.0,1969.17,1278.57,         29.60亿,11839.71,0.0,-228.38,农药化肥,-444.65,11661.0,-182.41,-22.74,328.57,802.07,0.0,20150821.0,17.53,0.96,59.03
002114,罗平锌电,         25.34亿,0.0,0.0,20070215.0,156.0,2.80万,3004.0,9.01,70135.68,1.24,23642.0,-3781.08,-12.34,         -4.97㈡,76051.55,-44.59,-2722.92,394.0,48417.37,云南,9.53,19074.0,19276.72,1050.95,3.33,-273.8,--  ,8.27,1133.89,-2.16,4139.91,27184.08,169208.97,40689224.0,-728.92,12.25,4.95,-1.19,60336.32,9.63,8.92,10.1,-25658.27,--  ,44.95,23.0,0.0027,2.58,2.8,-0.139㈡,-0.94,1829.0,84718.21,45635.76,          8.04亿,8625.38,-0.53,-3804.01,铅锌,-925.32,28710.0,-2660.6,-8.69,24409.3,30633.65,0.0,20150731.0,54.43,0.62,20.32
002115,三维通信,         31.29亿,0.0,0.0,20070215.0,826.0,5.04万,6618.0,7.73,24693.34,1.14,148116.0,690.6,1.74,          0.75㈡,92030.61,124.33,628.27,876.0,16762.35,浙江,7.97,129533.0,46884.05,4584.78,3.4,74.18,226.57,7.91,49947.09,-8.98,-5261.5,41068.8,204039.77,221371984.0,259.35,12.16,8.13,17.82,8349.87,8.47,7.62,8.65,21151.99,--  ,45.1,77.0,0.0022,0.6,2.24,0.017㈡,0.52,3621.0,64626.68,154837.98,         26.02亿,34143.82,-0.13,633.1,通信设备,4218.49,51591.0,225.91,0.57,26600.49,39575.96,0.0,20150827.0,52.65,0.71,32.79
002116,中国海诚,         69.48亿,0.0,0.0,20070215.0,740.0,50.35万,29259.0,16.88,3565.7,1.12,85428.0,11028.38,5.08,         11.44㈡,96381.43,11.41,13219.99,1672.0,29410.74,上海,17.95,76178.0,51102.09,0.0,7.21,33.44,31.5,3.2,45082.3,-3.86,11157.33,40372.23,332418.66,290146560.0,20.08,16.24,4.03,-25.26,5703.45,18.1,16.41,19.35,42619.98,--  ,28.99,46.0,0.0011,0.09,2.39,0.273㈡,1.06,3543.0,234610.72,289072.0,         69.09亿,40145.82,-0.28,11028.38,建筑施工,20779.86,13721.0,12588.5,5.8,194242.72,217093.34,0.0,20150816.0,71.01,0.72,10.53
002117,东港股份,         97.50亿,0.0,0.0,20070302.0,1.0,70.79万,26413.0,26.03,37776.68,1.24,24974.0,9210.0,14.65,          7.15㈡,128765.55,16.02,12050.23,1218.0,62005.75,山东,26.85,20167.0,5516.12,6253.51,7.57,-168.35,52.93,15.51,26051.81,-4.07,-13331.57,36380.64,170203.77,121211504.0,306.04,13.66,1.25,6.33,9341.24,28.25,25.53,29.39,40740.01,--  ,75.65,25.0,0.0007,1.04,3.54,0.253㈡,1.12,1829.0,33048.26,89038.11,         97.07亿,36220.07,4.6,10219.37,广告包装,-5791.41,13713.0,11340.32,18.04,38448.65,62845.95,0.0,20150820.0,20.67,0.6,38.82
002118,紫鑫药业,         69.61亿,0.0,0.0,20070302.0,3448.0,24.40万,17979.0,13.58,71948.21,1.06,117161.0,293.57,1.3,          0.15㈡,197661.55,112.58,363.13,1777.0,78301.71,吉林,14.31,110125.0,195887.94,201.08,3.52,98.76,1185.63,30.84,44139.75,-8.95,-9211.95,51299.14,399884.22,325251712.0,980.0,15.12,4.43,-27.62,16214.12,15.08,13.57,15.85,66928.28,--  ,49.43,66.0,0.0013,1.4,3.85,0.006㈡,1.3,3442.0,196033.11,288732.88,         69.57亿,51267.42,0.0,271.04,中成药,7048.53,28515.0,-1076.06,-4.77,6350.16,22570.89,0.0,20150827.0,50.52,0.72,71.87
002119,康强电子,         30.52亿,0.0,0.0,20070302.0,317.0,14.28万,9652.0,14.5,24444.63,1.17,36426.0,-4289.78,-8.36,         -6.43㈡,66712.3,-5107.27,-4980.23,28.0,48000.28,浙江,15.38,31120.0,23922.77,4787.65,4.57,41.42,--  ,5.95,25191.52,-6.32,-203.55,20620.0,148376.5,103917336.0,81.55,15.64,3.48,-8.8,10811.71,15.98,14.5,17.0,17465.17,--  ,44.96,30.0,0.0016,1.19,3.24,-0.208㈡,0.85,2225.0,72594.68,71862.86,         28.74亿,19420.0,-0.06,-4241.93,半导体,7367.7,20121.0,-5206.72,-10.15,44199.19,51282.78,0.0,20150818.0,51.81,0.94,13.81
002120,新海股份,         17.87亿,0.0,0.0,20070306.0,24.0,7.79万,6554.0,12.04,4589.51,1.07,21142.0,2313.05,5.17,          4.18㈡,55290.51,-60.44,4726.68,834.0,26715.15,浙江,12.29,19804.0,10975.8,8060.25,3.23,31.4,38.62,3.99,17163.15,-5.76,-590.35,15028.0,83433.65,50326264.0,-331.82,12.54,4.19,5.96,3292.83,12.76,11.6,13.2,33067.56,--  ,66.27,25.0,0.0026,0.31,3.68,0.154㈡,2.2,1629.0,20082.86,36156.37,         11.62亿,9772.67,-0.25,3606.43,家居用品,5690.97,14911.0,4366.68,9.76,33564.1,44744.93,0.0,20150825.0,24.07,0.7,24.99
