细分行业,市盈(动),均价,市盈(动)按总资产加权,均价按总资产加权,市盈(动)按流通市值加权,均价按流通市值加权
电信运营,111.336666667,30.7816666667,5.10520047047,1.1758863163,8.95574362549,2.80865412419
电器仪表,113.522765957,22.8336538462,1.50481126361,0.429725894847,1.66113019279,0.506327408969
电器连锁,99.3533333333,11.1133333333,43.6801208794,4.14415323262,43.6943407653,4.15814136656
电气设备,203.181785714,17.1885714286,0.737207592519,0.107864961294,1.23230784671,0.130712293771
电脑设备,643.221111111,23.5496875,7.00951471018,0.635764912482,11.3839517896,0.881673891138
白酒,58.53,31.249375,1.65860692145,5.15620530884,1.42489995784,6.69546638801
百货,99.104,13.667173913,1.64642283983,0.350602302437,1.82998201613,0.363561764487
石油加工,35.516,8.39166666667,2.50407115137,0.831363993148,2.67599494201,0.860387251594
石油开采,126.237142857,10.7672727273,4.79814960366,0.821411122359,5.05801085603,0.831066420814
石油贸易,247.246,12.0371428571,18.0912564107,2.13073187451,26.8194519495,2.05175778178
矿物制品,283.1525,11.462,20.9356896473,1.12219132342,23.918170805,1.18455945349
种植业,1277.97444444,14.2,64.5290202831,1.03099387638,164.410222449,1.21769231713
空运,22.1866666667,22.7233333333,2.38720122447,1.51931107256,2.58712699595,1.77765319642
红黄药酒,4387.08125,13.36,58.0504124028,2.11016719784,341.818938812,2.15293342863
纺织,310.347741935,11.4566666667,5.60694086721,0.218704332432,5.91697125065,0.254199888944
纺织机械,142.7,14.51,6.34408035883,1.61478886789,7.93347400955,1.38751589988
综合类,95.4585714286,12.905,4.15359793127,0.320154308329,3.14046988746,0.403253085947
航空,211.456153846,30.0693333333,9.4916666901,2.1187220647,11.5190154067,2.0565523814
船舶,229.7875,20.5225,98.3309359822,2.32988427734,103.954288457,2.13909460711
装修装饰,41.462,14.5869230769,2.63711459813,1.03439387349,3.24519657997,1.16976472365
证券,9.18130434783,13.1256521739,0.341780134533,0.611638277044,0.367179114509,0.584159974746
超市连锁,38.2244444444,9.364,3.35989281528,1.17770050564,3.35908979363,1.11713215912
路桥,40.1189473684,6.13684210526,0.882734442177,0.309020923488,1.28500481849,0.336374621082
软件服务,320.424040404,26.6005309735,2.23678477119,0.217199936915,2.91682733294,0.261956378545
软饮料,98.35,9.506,14.5597654933,1.56171413135,13.3092565811,1.8502890134
轻工机械,87.248,14.97,2.87343828697,1.89141436778,4.94603692074,1.61429110726
运输设备,61.735,19.1769230769,3.14556765214,1.07023404376,3.42997049894,1.12929508054
通信设备,238.499642857,20.5147945205,1.56758962877,0.261661854186,2.54650210564,0.287430310889
造纸,166.247333333,9.03083333333,3.40376799835,0.258740378727,6.57633144778,0.357428577218
酒店餐饮,67.2728571429,14.6036363636,6.99354281326,1.85610516873,6.95536202774,1.69454583373
钢加工,304.935,12.1959090909,4.84418800187,0.408792104269,11.5270705369,0.502877211918
铁路,27.37,7.61666666667,5.6913660052,2.88438790923,5.20498710536,2.97697932333
铅锌,85.80125,10.3808333333,9.10793724853,0.810219170503,8.09786138381,0.862289732428
铜,360.668888889,13.705,23.1137564228,1.29287493974,44.3798367954,1.49601606149
铝,143.131875,12.4166666667,48.6321586735,0.285448004692,29.4424393932,0.404000639023
银行,6.255625,9.338125,0.377292737481,0.419415712337,0.380954501367,0.427734979177
陶瓷,133.4975,18.3116666667,26.5556113249,2.53084420982,26.5665471238,2.92772754848
食品,62.8477777778,17.0618604651,1.01817043154,0.380202705105,1.15098762025,0.421114790703
饲料,121.000833333,14.5353846154,7.70659284439,1.16760879204,6.46489691079,1.19440629745
黄金,237.365,10.464,15.1862409996,0.756729300736,17.5463186027,0.827346691248
