date,close,turn,dailyreturn
2004-02-24,2.1436 ,-0.2000 ,-1.6949 
2004-02-25,2.2434 ,0.5400 ,4.6552 
2004-02-26,2.2600 ,0.0900 ,0.7414 
2004-02-27,2.3413 ,0.4400 ,3.5977 
2004-03-01,2.4928 ,0.8200 ,6.4720 
2004-03-02,2.3875 ,-0.5700 ,-4.2254 
2004-03-03,2.3339 ,-0.2900 ,-2.2446 
2004-03-04,2.4023 ,0.3700 ,2.9295 
2004-03-05,2.2618 ,-0.7600 ,-5.8462 
2004-03-08,2.1233 ,-0.7500 ,-6.1275 
2004-03-09,2.0660 ,-0.3100 ,-2.6980 
2004-03-10,2.1602 ,0.5100 ,4.5617 
2004-03-11,2.1491 ,-0.0600 ,-0.5133 
2004-03-12,2.1528 ,0.0200 ,0.1720 
2004-03-15,2.2064 ,0.2900 ,2.4893 
2004-03-16,2.2415 ,0.1900 ,1.5913 
2004-03-17,2.1916 ,-0.2700 ,-2.2259 
2004-03-18,2.1935 ,0.0100 ,0.0843 
2004-03-19,2.2193 ,0.1400 ,1.1794 
2004-03-22,2.2064 ,-0.0700 ,-0.5828 
2004-03-23,2.1621 ,-0.2400 ,-2.0101 
2004-03-24,2.1491 ,-0.0700 ,-0.5983 
2004-03-25,2.1639 ,0.0800 ,0.6879 
2004-03-26,2.2267 ,0.3400 ,2.9035 
2004-03-29,2.1990 ,-0.1500 ,-1.2448 
2004-03-30,2.2785 ,0.4300 ,3.6134 
2004-03-31,2.2785 ,0.0000 ,0.0000 
2004-04-01,2.2933 ,0.0800 ,0.6488 
2004-04-02,2.3265 ,0.1800 ,1.4504 
2004-04-05,2.2970 ,-0.1600 ,-1.2709 
2004-04-06,2.2933 ,-0.0200 ,-0.1609 
2004-04-07,2.2637 ,-0.1600 ,-1.2893 
2004-04-08,2.2692 ,0.0300 ,0.2449 
2004-04-09,2.1768 ,-0.5000 ,-4.0717 
2004-04-12,2.2120 ,0.1900 ,1.6129 
2004-04-13,2.2637 ,0.2800 ,2.3392 
2004-04-14,2.1935 ,-0.3800 ,-3.1020 
2004-04-15,2.1269 ,-0.3600 ,-3.0329 
2004-04-16,2.1417 ,0.0800 ,0.6950 
2004-04-19,2.0549 ,-0.4700 ,-4.0552 
2004-04-20,2.0382 ,-0.0900 ,-0.8094 
2004-04-21,2.0382 ,0.0000 ,0.0000 
2004-04-22,2.1066 ,0.3700 ,3.3545 
2004-04-23,2.0382 ,-0.3700 ,-3.2456 
2004-04-26,2.0327 ,-0.0300 ,-0.2720 
2004-04-27,2.0660 ,0.1800 ,1.6364 
2004-04-28,2.0456 ,-0.1100 ,-0.9839 
2004-04-29,1.9274 ,-0.6400 ,-5.7814 
2004-04-30,1.9126 ,-0.0800 ,-0.7670 
2004-05-10,1.8110 ,-0.5500 ,-5.3140 
2004-05-11,1.8294 ,0.1000 ,1.0204 
2004-05-12,1.8812 ,0.2800 ,2.8283 
2004-05-13,1.8775 ,-0.0200 ,-0.1965 
2004-05-14,1.8331 ,-0.2400 ,-2.3622 
2004-05-17,1.8331 ,0.0000 ,0.0000 
2004-05-18,1.9403 ,0.5800 ,5.8468 
2004-05-19,1.9255 ,-0.0800 ,-0.7619 
2004-05-20,1.8997 ,-0.1400 ,-1.3436 
2004-05-21,1.9218 ,0.1200 ,1.1673 
2004-05-24,1.8701 ,-0.2800 ,-2.6923 
2004-05-25,1.8442 ,-0.1400 ,-1.3834 
2004-05-26,1.8701 ,0.1400 ,1.4028 
2004-05-27,1.9181 ,0.2600 ,2.5692 
2004-05-28,1.9089 ,-0.0500 ,-0.4817 
2004-05-31,1.9459 ,0.2000 ,1.9361 
2004-06-01,1.9921 ,0.2500 ,2.3742 
2004-06-02,1.9902 ,-0.0100 ,-0.0928 
2004-06-03,1.9237 ,-0.3600 ,-3.3426 
2004-06-04,1.9385 ,0.0800 ,0.7685 
2004-06-07,1.9015 ,-0.2000 ,-1.9066 
2004-06-08,1.9828 ,0.4400 ,4.2760 
2004-06-09,1.8886 ,-0.5100 ,-4.7530 
2004-06-10,1.8073 ,-0.4400 ,-4.3053 
2004-06-11,1.8183 ,0.0600 ,0.6135 
2004-06-14,1.7056 ,-0.6100 ,-6.1992 
2004-06-15,1.7370 ,0.1700 ,1.8418 
2004-06-16,1.7500 ,0.0700 ,0.7447 
2004-06-17,1.7001 ,-0.2700 ,-2.8511 
2004-06-18,1.7075 ,0.0400 ,0.4348 
2004-06-21,1.7648 ,0.3100 ,3.3550 
2004-06-22,1.8054 ,0.2200 ,2.3037 
2004-06-23,1.7869 ,-0.1000 ,-1.0235 
2004-06-24,1.7851 ,-0.0100 ,-0.1034 
2004-06-25,1.6890 ,-0.5200 ,-5.3830 
2004-06-28,1.6262 ,-0.3400 ,-3.7199 
2004-06-29,1.6373 ,0.0600 ,0.6818 
2004-06-30,1.6077 ,-0.1600 ,-1.8059 
2004-07-01,1.6816 ,0.4000 ,4.5977 
2004-07-02,1.6631 ,-0.1000 ,-1.0989 
2004-07-05,1.6594 ,-0.0200 ,-0.2222 
2004-07-06,1.6557 ,-0.0200 ,-0.2227 
2004-07-07,1.6262 ,-0.1600 ,-1.7857 
2004-07-08,1.6317 ,0.0300 ,0.3409 
2004-07-09,1.6336 ,0.0100 ,0.1133 
2004-07-12,1.5559 ,-0.4200 ,-4.7511 
2004-07-13,1.5338 ,-0.1200 ,-1.4252 
2004-07-14,1.5024 ,-0.1700 ,-2.0482 
2004-07-15,1.5171 ,0.0800 ,0.9840 
2004-07-16,1.5837 ,0.3600 ,4.3849 
2004-07-19,1.5984 ,0.0800 ,0.9335 
2004-07-20,1.5707 ,-0.1500 ,-1.7341 
2004-07-21,1.5652 ,-0.0300 ,-0.3529 
2004-07-22,1.5264 ,-0.2100 ,-2.4793 
2004-07-23,1.5430 ,0.0900 ,1.0896 
2004-07-26,1.5042 ,-0.2100 ,-2.5150 
2004-07-27,1.4968 ,-0.0400 ,-0.4914 
2004-07-28,1.5134 ,0.0900 ,1.1111 
2004-07-29,1.5837 ,0.3800 ,4.6398 
2004-07-30,1.5633 ,-0.1100 ,-1.2835 
2004-08-02,1.5338 ,-0.1600 ,-1.8913 
2004-08-03,1.5892 ,0.3000 ,3.6145 
2004-08-04,1.6132 ,0.1300 ,1.5116 
2004-08-05,1.5818 ,-0.1700 ,-1.9473 
2004-08-06,1.5578 ,-0.1300 ,-1.5187 
2004-08-09,1.5726 ,0.0800 ,0.9490 
2004-08-10,1.5818 ,0.0500 ,0.5875 
2004-08-11,1.5522 ,-0.1600 ,-1.8692 
2004-08-12,1.5171 ,-0.1900 ,-2.2619 
2004-08-13,1.5153 ,-0.0100 ,-0.1218 
2004-08-16,1.4765 ,-0.2100 ,-2.5610 
2004-08-17,1.4839 ,0.0400 ,0.5006 
2004-08-18,1.4783 ,-0.0300 ,-0.3736 
2004-08-19,1.4414 ,-0.2000 ,-2.5000 
2004-08-20,1.4654 ,0.1300 ,1.6667 
2004-08-23,1.4654 ,0.0000 ,0.0000 
2004-08-24,1.4802 ,0.0800 ,1.0088 
2004-08-25,1.4783 ,-0.0100 ,-0.1248 
2004-08-26,1.4599 ,-0.1000 ,-1.2500 
2004-08-27,1.4432 ,-0.0900 ,-1.1392 
2004-08-30,1.4635 ,0.1100 ,1.4085 
2004-08-31,1.4931 ,0.1600 ,2.0202 
2004-09-01,1.4580 ,-0.1900 ,-2.3515 
2004-09-02,1.4839 ,0.1400 ,1.7744 
2004-09-03,1.4857 ,0.0100 ,0.1245 
2004-09-06,1.4839 ,-0.0100 ,-0.1244 
2004-09-07,1.4765 ,-0.0400 ,-0.4981 
2004-09-08,1.4599 ,-0.0900 ,-1.1264 
2004-09-09,1.4358 ,-0.1300 ,-1.6456 
2004-09-10,1.4100 ,-0.1400 ,-1.8018 
2004-09-13,1.3360 ,-0.4000 ,-5.2425 
2004-09-14,1.4026 ,0.3600 ,4.9793 
2004-09-15,1.4783 ,0.4100 ,5.4018 
2004-09-16,1.4876 ,0.0500 ,0.6250 
2004-09-17,1.5522 ,0.3500 ,4.3478 
2004-09-20,1.6317 ,0.4300 ,5.1190 
2004-09-21,1.7019 ,0.3800 ,4.3035 
2004-09-22,1.7093 ,0.0400 ,0.4343 
2004-09-23,1.7260 ,0.0900 ,0.9730 
2004-09-24,1.6908 ,-0.1900 ,-2.0343 
2004-09-27,1.7296 ,0.2100 ,2.2951 
2004-09-28,1.6724 ,-0.3100 ,-3.3120 
2004-09-29,1.6114 ,-0.3300 ,-3.6464 
2004-09-30,1.6317 ,0.1100 ,1.2615 
2004-10-08,1.6724 ,0.2200 ,2.4915 
2004-10-11,1.6798 ,0.0400 ,0.4420 
2004-10-12,1.6225 ,-0.3100 ,-3.4103 
2004-10-13,1.6761 ,0.2900 ,3.3030 
2004-10-14,1.5412 ,-0.7300 ,-8.0485 
2004-10-15,1.5319 ,-0.0500 ,-0.5995 
2004-10-18,1.5467 ,0.0800 ,0.9650 
2004-10-19,1.5097 ,-0.2000 ,-2.3895 
2004-10-20,1.4802 ,-0.1600 ,-1.9584 
2004-10-21,1.4525 ,-0.1500 ,-1.8727 
2004-10-22,1.4987 ,0.2500 ,3.1807 
2004-10-25,1.4580 ,-0.2200 ,-2.7127 
2004-10-26,1.4543 ,-0.0200 ,-0.2535 
2004-10-27,1.4839 ,0.1600 ,2.0330 
2004-10-28,1.4765 ,-0.0400 ,-0.4981 
2004-10-29,1.4469 ,-0.1600 ,-2.0025 
2004-11-01,1.3896 ,-0.3100 ,-3.9591 
2004-11-02,1.4155 ,0.1400 ,1.8617 
2004-11-03,1.4395 ,0.1300 ,1.6971 
2004-11-04,1.4395 ,0.0000 ,0.0000 
2004-11-05,1.4950 ,0.3000 ,3.8511 
2004-11-08,1.6446 ,0.8100 ,10.0124 
2004-11-09,1.6446 ,0.0000 ,0.0000 
2004-11-10,1.8091 ,0.8900 ,10.0000 
2004-11-11,1.9902 ,0.9800 ,10.0102 
2004-11-12,1.9366 ,-0.2900 ,-2.6927 
2004-11-15,1.9126 ,-0.1300 ,-1.2405 
2004-11-16,1.8849 ,-0.1500 ,-1.4493 
2004-11-17,1.9440 ,0.3200 ,3.1373 
2004-11-18,1.9939 ,0.2700 ,2.5665 
2004-11-19,1.9569 ,-0.2000 ,-1.8536 
2004-11-22,1.9329 ,-0.1300 ,-1.2276 
2004-11-23,1.8960 ,-0.2000 ,-1.9120 
2004-11-24,1.8812 ,-0.0800 ,-0.7797 
2004-11-25,1.7204 ,-0.8700 ,-8.5462 
2004-11-26,1.7666 ,0.2500 ,2.6853 
2004-11-29,1.7444 ,-0.1200 ,-1.2552 
2004-11-30,1.7370 ,-0.0400 ,-0.4237 
2004-12-01,1.7093 ,-0.1500 ,-1.5957 
2004-12-02,1.7721 ,0.3400 ,3.6757 
2004-12-03,1.8553 ,0.4500 ,4.6924 
2004-12-06,1.7370 ,-0.6400 ,-6.3745 
2004-12-07,1.7149 ,-0.1200 ,-1.2766 
2004-12-08,1.6908 ,-0.1300 ,-1.4009 
2004-12-09,1.7038 ,0.0700 ,0.7650 
2004-12-10,1.6114 ,-0.5000 ,-5.4230 
2004-12-13,1.5689 ,-0.2300 ,-2.6376 
2004-12-14,1.5596 ,-0.0500 ,-0.5889 
2004-12-15,1.5153 ,-0.2400 ,-2.8436 
2004-12-16,1.5449 ,0.1600 ,1.9512 
2004-12-17,1.5319 ,-0.0700 ,-0.8373 
2004-12-20,1.5319 ,0.0000 ,0.0000 
2004-12-21,1.5060 ,-0.1400 ,-1.6888 
2004-12-22,1.6262 ,0.6500 ,7.9755 
2004-12-23,1.5596 ,-0.3600 ,-4.0909 
2004-12-24,1.5615 ,0.0100 ,0.1185 
2004-12-27,1.5652 ,0.0200 ,0.2367 
2004-12-28,1.6077 ,0.2300 ,2.7155 
2004-12-29,1.5874 ,-0.1100 ,-1.2644 
2004-12-30,1.5522 ,-0.1900 ,-2.2119 
2004-12-31,1.5430 ,-0.0500 ,-0.5952 
2005-01-04,1.6557 ,0.6100 ,7.3054 
2005-01-05,1.6927 ,0.2000 ,2.2321 
2005-01-06,1.6798 ,-0.0700 ,-0.7642 
2005-01-07,1.6761 ,-0.0200 ,-0.2200 
2005-01-10,1.6853 ,0.0500 ,0.5513 
2005-01-11,1.6576 ,-0.1500 ,-1.6447 
2005-01-12,1.6373 ,-0.1100 ,-1.2263 
2005-01-13,1.6890 ,0.2800 ,3.1603 
2005-01-14,1.6446 ,-0.2400 ,-2.6258 
2005-01-17,1.5670 ,-0.4200 ,-4.7191 
2005-01-18,1.6206 ,0.2900 ,3.4198 
2005-01-19,1.5984 ,-0.1200 ,-1.3683 
2005-01-20,1.5800 ,-0.1000 ,-1.1561 
2005-01-21,1.5171 ,-0.3400 ,-3.9766 
2005-01-24,1.5504 ,0.1800 ,2.1924 
2005-01-25,1.5264 ,-0.1300 ,-1.5495 
2005-01-26,1.5060 ,-0.1100 ,-1.3317 
2005-01-27,1.4543 ,-0.2800 ,-3.4356 
2005-01-28,1.4284 ,-0.1400 ,-1.7789 
2005-01-31,1.3619 ,-0.3600 ,-4.6572 
2005-02-01,1.3638 ,0.0100 ,0.1357 
2005-02-02,1.5005 ,0.7400 ,10.0271 
